COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ROSSELLIND,2021-07-01,155.0,157.9,153.0,153.3,153.7
ROSSELLIND,2021-07-02,155.0,159.75,153.4,156.0,154.75
ROSSELLIND,2021-07-05,156.65,159.0,154.15,154.9,155.2
ROSSELLIND,2021-07-06,156.45,156.45,148.55,151.9,150.15
ROSSELLIND,2021-07-07,151.0,154.8,150.25,154.5,152.9
ROSSELLIND,2021-07-08,154.0,157.0,151.7,154.0,154.85
ROSSELLIND,2021-07-09,154.35,155.9,153.5,154.5,154.6
ROSSELLIND,2021-07-12,155.8,163.3,154.5,158.4,157.95
ROSSELLIND,2021-07-13,157.95,183.0,157.95,174.25,175.45
ROSSELLIND,2021-07-14,175.85,176.9,168.9,170.0,170.0
ROSSELLIND,2021-07-15,170.9,172.2,164.5,165.5,166.15
ROSSELLIND,2021-07-16,166.8,177.0,166.3,172.8,172.2
ROSSELLIND,2021-07-19,170.9,192.4,169.0,190.1,190.1
ROSSELLIND,2021-07-20,193.5,198.7,181.0,184.0,184.25
ROSSELLIND,2021-07-20,193.5,198.7,181.0,184.0,184.25
ROSSELLIND,2021-07-22,186.7,199.95,186.05,197.0,194.45
ROSSELLIND,2021-07-23,195.8,196.8,187.25,188.8,188.4
ROSSELLIND,2021-07-26,189.35,198.5,185.8,192.2,192.65
ROSSELLIND,2021-07-27,193.2,211.0,193.2,204.3,205.75
ROSSELLIND,2021-07-28,205.0,208.85,188.7,198.15,198.35
