COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ROUTE,2021-07-01,1727.7,1784.9,1708.0,1778.9,1770.2
ROUTE,2021-07-02,1786.7,2124.2,1785.0,2124.2,2102.2
ROUTE,2021-07-05,2165.0,2307.0,2105.0,2118.0,2123.15
ROUTE,2021-07-06,2110.0,2129.0,2020.0,2033.6,2030.45
ROUTE,2021-07-07,2032.0,2162.0,2012.05,2087.85,2083.45
ROUTE,2021-07-08,2102.9,2129.0,2042.0,2100.0,2088.85
ROUTE,2021-07-09,2101.75,2153.9,2081.0,2110.0,2111.7
ROUTE,2021-07-12,2127.0,2140.0,2061.0,2079.0,2077.75
ROUTE,2021-07-13,2091.0,2098.7,2026.0,2048.2,2047.8
ROUTE,2021-07-14,2051.0,2198.4,2048.0,2159.0,2165.35
ROUTE,2021-07-15,2173.6,2239.8,2112.15,2142.0,2133.15
ROUTE,2021-07-16,2149.0,2175.0,2125.0,2151.0,2152.45
ROUTE,2021-07-19,2104.9,2165.0,2095.0,2126.0,2123.7
ROUTE,2021-07-20,2125.15,2137.95,2043.1,2058.0,2059.9
ROUTE,2021-07-20,2125.15,2137.95,2043.1,2058.0,2059.9
ROUTE,2021-07-22,2080.15,2108.2,2061.9,2071.0,2072.85
ROUTE,2021-07-23,2084.3,2222.0,2084.0,2134.05,2136.2
ROUTE,2021-07-26,2141.1,2152.0,2109.6,2122.0,2119.65
ROUTE,2021-07-27,2134.0,2213.9,2115.0,2149.5,2148.45
ROUTE,2021-07-28,2163.6,2231.9,2126.55,2165.0,2176.45
