COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RPSGVENT,2021-07-01,563.35,594.4,563.0,584.0,581.45
RPSGVENT,2021-07-02,588.0,593.15,568.0,574.0,572.6
RPSGVENT,2021-07-05,578.6,590.0,568.4,571.0,571.7
RPSGVENT,2021-07-06,574.95,586.15,557.3,567.0,563.65
RPSGVENT,2021-07-07,566.65,578.0,559.9,566.0,564.4
RPSGVENT,2021-07-08,564.4,584.5,560.5,563.0,567.4
RPSGVENT,2021-07-09,571.4,573.0,556.0,565.9,561.6
RPSGVENT,2021-07-12,569.7,614.95,567.65,591.0,593.4
RPSGVENT,2021-07-13,609.5,609.5,585.4,587.05,588.35
RPSGVENT,2021-07-14,589.8,605.0,584.2,586.0,589.5
RPSGVENT,2021-07-15,593.6,609.9,587.85,594.0,593.15
RPSGVENT,2021-07-16,605.0,645.0,595.55,640.45,638.2
RPSGVENT,2021-07-19,634.0,765.8,621.1,765.8,761.05
RPSGVENT,2021-07-20,790.0,808.95,706.2,730.0,737.85
RPSGVENT,2021-07-20,790.0,808.95,706.2,730.0,737.85
RPSGVENT,2021-07-22,747.5,768.0,745.0,746.0,748.1
RPSGVENT,2021-07-23,754.95,760.0,716.05,721.6,721.9
RPSGVENT,2021-07-26,740.0,745.0,714.0,716.6,717.55
RPSGVENT,2021-07-27,728.6,775.0,722.9,742.9,741.9
RPSGVENT,2021-07-28,743.0,749.7,710.0,717.0,716.6
