COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RUPA,2021-07-01,476.85,486.95,472.1,476.25,479.85
RUPA,2021-07-02,481.4,519.95,476.0,495.8,495.25
RUPA,2021-07-05,500.7,518.0,496.05,503.0,504.75
RUPA,2021-07-06,507.8,510.0,475.0,481.5,481.55
RUPA,2021-07-07,482.0,491.5,475.0,481.0,482.65
RUPA,2021-07-08,482.0,488.0,471.25,477.0,476.3
RUPA,2021-07-09,478.85,485.8,475.0,476.6,478.9
RUPA,2021-07-12,480.0,488.4,465.25,472.0,470.7
RUPA,2021-07-13,472.0,492.85,467.1,481.9,484.05
RUPA,2021-07-14,484.85,499.0,481.0,486.0,486.75
RUPA,2021-07-15,487.2,493.0,482.0,482.0,483.7
RUPA,2021-07-16,487.0,489.0,478.0,479.7,480.25
RUPA,2021-07-19,481.0,482.0,475.55,479.85,478.85
RUPA,2021-07-20,476.0,483.0,465.2,474.0,473.8
RUPA,2021-07-20,476.0,483.0,465.2,474.0,473.8
RUPA,2021-07-22,477.8,487.9,466.0,472.0,475.3
RUPA,2021-07-23,477.0,481.95,460.05,469.75,470.05
RUPA,2021-07-26,470.05,484.5,470.05,476.5,479.25
RUPA,2021-07-27,482.0,525.0,478.0,504.2,502.45
RUPA,2021-07-28,510.0,522.0,486.0,496.0,498.4
