COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SAKAR,2021-07-01,163.1,187.6,161.55,187.6,187.6
SAKAR,2021-07-02,191.0,191.0,172.5,175.0,174.6
SAKAR,2021-07-05,175.1,178.65,167.1,170.15,171.55
SAKAR,2021-07-06,171.9,186.75,171.9,173.95,175.35
SAKAR,2021-07-07,175.9,182.0,175.05,175.25,175.4
SAKAR,2021-07-08,178.5,183.0,176.5,176.5,177.3
SAKAR,2021-07-09,179.5,179.5,175.1,176.0,176.25
SAKAR,2021-07-12,179.8,179.8,172.6,173.0,174.05
SAKAR,2021-07-13,175.1,177.95,171.2,171.65,172.5
SAKAR,2021-07-14,172.0,184.0,169.95,173.4,173.75
SAKAR,2021-07-15,175.0,176.9,172.0,172.85,174.05
SAKAR,2021-07-16,171.75,177.7,171.75,175.6,175.9
SAKAR,2021-07-19,175.9,178.75,172.8,174.25,173.65
SAKAR,2021-07-20,176.3,176.35,165.6,166.5,168.65
SAKAR,2021-07-20,176.3,176.35,165.6,166.5,168.65
SAKAR,2021-07-22,168.65,178.0,168.65,170.0,170.5
SAKAR,2021-07-23,171.85,175.6,171.7,173.3,173.7
SAKAR,2021-07-26,174.6,192.3,171.35,184.65,185.55
SAKAR,2021-07-27,187.5,188.0,179.1,180.0,180.3
SAKAR,2021-07-28,180.0,182.45,173.0,178.0,176.4
