COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SAKSOFT,2021-07-01,579.8,640.7,571.0,626.0,626.95
SAKSOFT,2021-07-02,630.1,682.0,625.0,640.0,640.55
SAKSOFT,2021-07-05,644.9,659.95,625.0,636.0,638.4
SAKSOFT,2021-07-06,642.25,642.25,613.4,617.0,616.2
SAKSOFT,2021-07-07,617.7,626.0,600.0,602.25,605.95
SAKSOFT,2021-07-08,607.2,666.5,581.15,643.5,645.75
SAKSOFT,2021-07-09,642.8,642.8,618.85,627.6,628.45
SAKSOFT,2021-07-12,632.95,644.0,628.05,632.0,631.75
SAKSOFT,2021-07-13,635.0,648.85,620.0,625.0,623.45
SAKSOFT,2021-07-14,626.0,685.75,625.05,680.1,682.55
SAKSOFT,2021-07-15,714.95,734.45,693.0,698.0,698.4
SAKSOFT,2021-07-16,705.6,709.9,681.05,686.2,685.8
SAKSOFT,2021-07-19,684.55,699.9,669.0,684.9,684.55
SAKSOFT,2021-07-20,688.0,691.0,633.15,659.9,658.05
SAKSOFT,2021-07-20,688.0,691.0,633.15,659.9,658.05
SAKSOFT,2021-07-22,664.9,700.0,664.85,688.0,691.15
SAKSOFT,2021-07-23,694.9,716.1,680.0,685.0,682.4
SAKSOFT,2021-07-26,686.1,690.9,675.0,682.0,680.7
SAKSOFT,2021-07-27,685.5,695.0,677.5,680.25,682.25
SAKSOFT,2021-07-28,699.0,699.0,664.6,675.1,673.35
