COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SANGAMIND,2021-07-01,107.9,107.9,103.8,104.0,104.7
SANGAMIND,2021-07-02,108.0,109.45,103.8,106.5,105.85
SANGAMIND,2021-07-05,108.9,111.1,105.0,111.1,111.0
SANGAMIND,2021-07-06,111.0,116.55,110.95,111.7,112.1
SANGAMIND,2021-07-07,112.1,117.7,109.05,117.7,117.7
SANGAMIND,2021-07-08,123.4,123.55,118.95,123.55,123.55
SANGAMIND,2021-07-09,128.5,129.7,125.1,129.7,129.7
SANGAMIND,2021-07-12,135.9,136.15,135.0,136.15,136.15
SANGAMIND,2021-07-13,142.95,142.95,133.0,142.3,141.05
SANGAMIND,2021-07-14,145.8,148.1,141.55,148.1,147.75
SANGAMIND,2021-07-15,149.5,153.95,140.4,140.4,140.4
SANGAMIND,2021-07-16,138.85,146.7,133.4,133.45,133.45
SANGAMIND,2021-07-19,137.8,140.1,134.45,140.1,140.1
SANGAMIND,2021-07-20,143.85,144.05,134.0,140.35,142.1
SANGAMIND,2021-07-20,143.85,144.05,134.0,140.35,142.1
SANGAMIND,2021-07-22,135.0,135.0,135.0,135.0,135.0
SANGAMIND,2021-07-23,130.35,134.75,128.25,128.25,128.25
SANGAMIND,2021-07-26,126.0,133.0,126.0,129.5,129.3
SANGAMIND,2021-07-27,132.0,132.0,125.6,129.5,128.2
SANGAMIND,2021-07-28,126.25,127.9,124.0,125.5,126.1
