COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SATIN,2021-07-01,87.05,89.15,85.0,86.05,85.9
SATIN,2021-07-02,86.5,87.15,85.9,86.0,86.5
SATIN,2021-07-05,87.0,88.25,84.8,86.1,85.9
SATIN,2021-07-06,86.45,88.0,85.1,85.9,85.6
SATIN,2021-07-07,86.3,91.0,84.1,90.85,90.3
SATIN,2021-07-08,92.3,94.0,88.95,89.2,89.45
SATIN,2021-07-09,89.45,90.35,88.6,89.35,89.3
SATIN,2021-07-12,90.3,93.6,90.25,91.2,91.15
SATIN,2021-07-13,92.0,92.4,90.55,90.8,90.9
SATIN,2021-07-14,90.15,91.5,89.0,89.5,89.75
SATIN,2021-07-15,89.45,92.4,88.3,89.25,89.3
SATIN,2021-07-16,89.35,94.4,89.0,94.0,93.75
SATIN,2021-07-19,93.75,96.0,92.65,94.0,93.9
SATIN,2021-07-20,93.0,95.0,90.0,90.15,90.45
SATIN,2021-07-20,93.0,95.0,90.0,90.15,90.45
SATIN,2021-07-22,90.7,92.5,89.0,90.2,89.7
SATIN,2021-07-23,89.95,90.9,89.0,89.2,89.45
SATIN,2021-07-26,89.0,91.05,86.1,89.1,88.9
SATIN,2021-07-27,88.0,90.3,87.45,88.0,88.05
SATIN,2021-07-28,88.0,88.5,85.1,86.5,86.2
