COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SCAPDVR,2021-07-01,2.45,2.45,2.45,2.45,2.45
SCAPDVR,2021-07-02,2.55,2.55,2.55,2.55,2.55
SCAPDVR,2021-07-05,2.65,2.65,2.65,2.65,2.65
SCAPDVR,2021-07-06,2.75,2.75,2.55,2.75,2.75
SCAPDVR,2021-07-07,2.85,2.85,2.75,2.85,2.85
SCAPDVR,2021-07-08,2.95,2.95,2.75,2.75,2.85
SCAPDVR,2021-07-09,2.75,2.8,2.75,2.75,2.75
SCAPDVR,2021-07-12,2.65,2.7,2.65,2.65,2.65
SCAPDVR,2021-07-13,2.65,2.65,2.55,2.6,2.55
SCAPDVR,2021-07-14,2.5,2.65,2.45,2.45,2.45
SCAPDVR,2021-07-15,2.35,2.35,2.35,2.35,2.35
SCAPDVR,2021-07-16,2.25,2.25,2.25,2.25,2.25
SCAPDVR,2021-07-19,2.15,2.35,2.15,2.35,2.35
SCAPDVR,2021-07-20,2.45,2.45,2.25,2.3,2.25
SCAPDVR,2021-07-20,2.45,2.45,2.25,2.3,2.25
SCAPDVR,2021-07-22,2.2,2.2,2.15,2.15,2.15
SCAPDVR,2021-07-23,2.1,2.15,2.05,2.1,2.1
SCAPDVR,2021-07-26,2.1,2.1,2.0,2.1,2.1
SCAPDVR,2021-07-27,2.1,2.2,2.1,2.2,2.2
SCAPDVR,2021-07-28,2.3,2.3,2.2,2.3,2.3
