COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SETFGOLD,2021-07-01,4166.1,4200.05,4166.1,4184.0,4187.35
SETFGOLD,2021-07-02,4181.0,4225.0,4181.0,4221.0,4219.65
SETFGOLD,2021-07-05,4237.5,4237.5,4206.65,4227.45,4226.6
SETFGOLD,2021-07-06,4242.0,4268.0,4226.0,4266.9,4264.25
SETFGOLD,2021-07-07,4269.0,4279.9,4254.25,4270.0,4272.4
SETFGOLD,2021-07-08,4272.5,4285.0,4247.0,4272.2,4271.15
SETFGOLD,2021-07-09,4270.0,4272.95,4247.0,4265.85,4266.35
SETFGOLD,2021-07-12,4271.95,4271.95,4243.1,4249.0,4249.9
SETFGOLD,2021-07-13,4249.9,4268.5,4249.9,4259.9,4261.3
SETFGOLD,2021-07-14,4265.0,4278.4,4261.35,4270.0,4273.75
SETFGOLD,2021-07-15,4281.0,4303.0,4281.0,4301.9,4297.95
SETFGOLD,2021-07-16,4297.95,4297.95,4278.4,4294.0,4292.8
SETFGOLD,2021-07-19,4290.0,4290.0,4256.25,4262.75,4262.55
SETFGOLD,2021-07-20,4275.1,4310.0,4259.95,4270.0,4266.1
SETFGOLD,2021-07-20,4275.1,4310.0,4259.95,4270.0,4266.1
SETFGOLD,2021-07-22,4229.8,4244.4,4205.5,4234.0,4234.85
SETFGOLD,2021-07-23,4241.0,4256.3,4236.65,4243.0,4243.65
SETFGOLD,2021-07-26,4243.65,4258.15,4236.2,4241.0,4241.45
SETFGOLD,2021-07-27,4241.45,4245.0,4224.0,4240.0,4240.55
SETFGOLD,2021-07-28,4243.0,4258.5,4232.5,4237.4,4237.5
