COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SETFNIF50,2021-07-01,160.55,160.99,159.5,159.96,159.61
SETFNIF50,2021-07-02,163.86,163.86,159.34,160.2,159.98
SETFNIF50,2021-07-05,159.98,169.6,159.98,161.0,160.9
SETFNIF50,2021-07-06,162.0,162.0,160.44,160.99,160.96
SETFNIF50,2021-07-07,161.9,162.9,160.5,161.67,161.51
SETFNIF50,2021-07-08,165.83,165.83,159.86,160.15,160.35
SETFNIF50,2021-07-09,161.9,161.9,159.43,160.05,160.02
SETFNIF50,2021-07-12,160.02,161.98,150.4,160.05,159.98
SETFNIF50,2021-07-13,161.87,162.39,160.26,160.9,160.95
SETFNIF50,2021-07-14,161.95,161.95,160.35,161.27,161.34
SETFNIF50,2021-07-15,161.51,162.25,161.34,162.0,162.07
SETFNIF50,2021-07-16,163.48,163.48,161.5,162.14,162.09
SETFNIF50,2021-07-19,162.09,163.72,160.17,160.71,160.65
SETFNIF50,2021-07-20,161.65,161.65,158.9,159.34,159.45
SETFNIF50,2021-07-20,161.65,161.65,158.9,159.34,159.45
SETFNIF50,2021-07-22,169.0,169.0,159.76,161.19,161.16
SETFNIF50,2021-07-23,161.95,161.95,160.58,161.17,161.31
SETFNIF50,2021-07-26,161.17,161.86,160.55,160.81,160.83
SETFNIF50,2021-07-27,161.0,161.5,159.9,160.65,160.54
SETFNIF50,2021-07-28,161.15,161.15,158.35,160.25,160.13
