COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHALPAINTS,2021-07-01,113.0,115.0,111.3,113.9,113.7
SHALPAINTS,2021-07-02,114.0,114.2,110.0,110.45,110.45
SHALPAINTS,2021-07-05,111.55,112.45,109.1,109.35,109.75
SHALPAINTS,2021-07-06,109.75,111.0,105.5,106.75,106.3
SHALPAINTS,2021-07-07,106.75,113.45,106.2,113.4,112.95
SHALPAINTS,2021-07-08,114.0,115.5,109.6,110.0,111.0
SHALPAINTS,2021-07-09,111.0,112.0,109.3,111.0,111.25
SHALPAINTS,2021-07-12,111.65,112.9,108.4,109.0,109.15
SHALPAINTS,2021-07-13,109.8,111.1,108.1,109.0,109.05
SHALPAINTS,2021-07-14,109.1,115.7,108.2,113.85,114.15
SHALPAINTS,2021-07-15,115.0,118.0,112.0,114.0,114.7
SHALPAINTS,2021-07-16,115.0,115.6,112.1,112.5,112.7
SHALPAINTS,2021-07-19,111.0,114.35,111.0,111.9,111.4
SHALPAINTS,2021-07-20,113.85,116.0,108.1,112.15,112.55
SHALPAINTS,2021-07-20,113.85,116.0,108.1,112.15,112.55
SHALPAINTS,2021-07-22,113.75,114.7,111.45,111.8,112.05
SHALPAINTS,2021-07-23,112.45,114.25,110.3,111.5,112.15
SHALPAINTS,2021-07-26,111.8,113.0,110.5,111.4,111.2
SHALPAINTS,2021-07-27,111.5,112.45,107.2,108.5,108.2
SHALPAINTS,2021-07-28,109.2,109.2,105.0,106.55,107.0
