COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHANTIGEAR,2021-07-01,143.0,151.55,142.15,148.1,148.15
SHANTIGEAR,2021-07-02,149.8,152.85,146.55,149.5,150.8
SHANTIGEAR,2021-07-05,151.5,151.75,147.0,147.0,147.95
SHANTIGEAR,2021-07-06,148.0,151.0,144.55,145.1,145.5
SHANTIGEAR,2021-07-07,145.3,148.35,143.45,147.1,147.3
SHANTIGEAR,2021-07-08,146.0,149.05,144.35,146.0,145.9
SHANTIGEAR,2021-07-09,147.45,147.45,143.3,145.1,144.6
SHANTIGEAR,2021-07-12,147.5,147.5,143.35,143.9,143.75
SHANTIGEAR,2021-07-13,144.55,151.0,144.4,151.0,149.65
SHANTIGEAR,2021-07-14,151.95,156.7,149.95,151.05,152.75
SHANTIGEAR,2021-07-15,154.25,155.7,148.05,149.15,149.15
SHANTIGEAR,2021-07-16,150.9,151.7,147.0,149.0,148.7
SHANTIGEAR,2021-07-19,145.2,150.7,145.2,148.85,148.8
SHANTIGEAR,2021-07-20,149.7,151.6,142.45,145.0,144.45
SHANTIGEAR,2021-07-20,149.7,151.6,142.45,145.0,144.45
SHANTIGEAR,2021-07-22,149.9,155.0,149.45,151.0,150.5
SHANTIGEAR,2021-07-23,152.05,155.0,149.1,151.4,151.7
SHANTIGEAR,2021-07-26,152.0,156.95,152.0,153.5,152.9
SHANTIGEAR,2021-07-27,155.0,155.35,152.25,154.8,154.85
SHANTIGEAR,2021-07-28,157.0,179.4,154.1,174.3,172.1
