COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHOPERSTOP,2021-07-01,240.35,243.55,234.55,238.55,238.7
SHOPERSTOP,2021-07-02,240.0,246.8,235.65,237.65,237.75
SHOPERSTOP,2021-07-05,239.45,248.2,238.15,243.15,244.35
SHOPERSTOP,2021-07-06,244.95,257.6,241.8,243.5,244.1
SHOPERSTOP,2021-07-07,245.0,255.0,244.25,248.45,247.8
SHOPERSTOP,2021-07-08,246.8,256.2,243.8,245.75,246.4
SHOPERSTOP,2021-07-09,245.9,250.0,244.0,245.5,245.95
SHOPERSTOP,2021-07-12,246.05,257.55,246.05,251.0,251.3
SHOPERSTOP,2021-07-13,253.0,266.7,250.6,253.0,252.95
SHOPERSTOP,2021-07-14,254.35,257.0,249.1,250.0,250.7
SHOPERSTOP,2021-07-15,251.9,254.7,247.4,248.1,247.9
SHOPERSTOP,2021-07-16,249.4,252.2,246.15,247.35,247.2
SHOPERSTOP,2021-07-19,244.8,254.0,242.85,252.9,251.6
SHOPERSTOP,2021-07-20,251.6,251.6,241.85,247.0,247.15
SHOPERSTOP,2021-07-20,251.6,251.6,241.85,247.0,247.15
SHOPERSTOP,2021-07-22,247.0,258.0,247.0,253.1,253.6
SHOPERSTOP,2021-07-23,254.9,255.3,245.1,248.0,246.6
SHOPERSTOP,2021-07-26,249.0,253.05,245.65,246.7,248.25
SHOPERSTOP,2021-07-27,249.7,251.9,243.55,244.75,244.75
SHOPERSTOP,2021-07-28,245.9,248.0,238.2,242.0,242.2
