COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHREDIGCEM,2021-07-01,82.2,82.6,81.15,81.35,81.25
SHREDIGCEM,2021-07-02,81.9,83.7,81.4,82.25,82.1
SHREDIGCEM,2021-07-05,82.1,89.65,82.1,88.9,87.0
SHREDIGCEM,2021-07-06,89.5,89.95,85.1,86.4,86.0
SHREDIGCEM,2021-07-07,87.4,88.35,86.5,87.1,86.9
SHREDIGCEM,2021-07-08,87.0,88.0,85.0,85.45,86.1
SHREDIGCEM,2021-07-09,86.1,86.7,84.0,84.45,84.3
SHREDIGCEM,2021-07-12,84.35,87.6,84.35,86.45,85.85
SHREDIGCEM,2021-07-13,86.45,87.4,86.0,86.35,86.25
SHREDIGCEM,2021-07-14,86.5,88.8,85.95,87.9,88.0
SHREDIGCEM,2021-07-15,88.6,89.35,87.95,88.25,88.25
SHREDIGCEM,2021-07-16,88.95,89.55,86.95,87.9,87.45
SHREDIGCEM,2021-07-19,86.0,89.9,86.0,87.7,87.75
SHREDIGCEM,2021-07-20,88.75,97.45,88.5,94.15,93.95
SHREDIGCEM,2021-07-20,88.75,97.45,88.5,94.15,93.95
SHREDIGCEM,2021-07-22,95.25,96.8,94.0,94.9,94.65
SHREDIGCEM,2021-07-23,93.8,95.1,91.65,93.0,92.6
SHREDIGCEM,2021-07-26,92.6,97.2,91.15,95.5,95.5
SHREDIGCEM,2021-07-27,95.5,96.1,91.6,93.0,93.15
SHREDIGCEM,2021-07-28,93.7,93.7,88.5,90.8,90.95
