COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHYAMCENT,2021-07-01,10.05,10.05,9.75,9.9,9.8
SHYAMCENT,2021-07-02,9.65,9.95,9.65,9.8,9.7
SHYAMCENT,2021-07-05,9.95,9.95,9.1,9.45,9.5
SHYAMCENT,2021-07-06,9.7,10.35,9.55,10.1,10.05
SHYAMCENT,2021-07-07,10.4,10.4,9.95,10.05,10.0
SHYAMCENT,2021-07-08,10.2,10.25,9.7,9.85,9.75
SHYAMCENT,2021-07-09,9.95,10.2,9.7,9.8,9.75
SHYAMCENT,2021-07-12,9.8,9.95,9.7,9.9,9.8
SHYAMCENT,2021-07-13,9.95,10.0,9.75,10.0,9.95
SHYAMCENT,2021-07-14,10.15,11.9,9.85,11.9,11.7
SHYAMCENT,2021-07-15,12.65,14.0,12.55,14.0,14.0
SHYAMCENT,2021-07-16,14.9,15.4,14.55,15.4,15.4
SHYAMCENT,2021-07-19,16.6,16.9,16.1,16.9,16.9
SHYAMCENT,2021-07-20,18.55,18.55,18.0,18.55,18.55
SHYAMCENT,2021-07-20,18.55,18.55,18.0,18.55,18.55
SHYAMCENT,2021-07-22,19.45,19.45,19.45,19.45,19.45
SHYAMCENT,2021-07-23,20.3,20.35,18.5,18.5,18.5
SHYAMCENT,2021-07-26,17.6,17.6,17.6,17.6,17.6
SHYAMCENT,2021-07-27,16.75,16.75,16.75,16.75,16.75
SHYAMCENT,2021-07-28,15.95,15.95,15.95,15.95,15.95
