COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SIGIND,2021-07-01,51.0,53.0,49.15,52.2,52.4
SIGIND,2021-07-02,52.7,54.2,51.8,53.95,53.8
SIGIND,2021-07-05,54.0,54.0,51.55,51.7,52.05
SIGIND,2021-07-06,52.25,55.6,51.65,52.75,52.8
SIGIND,2021-07-07,54.0,54.0,52.05,52.7,52.3
SIGIND,2021-07-08,52.3,53.4,50.3,50.75,50.75
SIGIND,2021-07-09,51.8,51.8,50.35,51.2,50.95
SIGIND,2021-07-12,51.5,53.85,50.9,52.2,52.15
SIGIND,2021-07-13,53.3,53.75,52.2,52.95,52.95
SIGIND,2021-07-14,53.4,55.9,51.25,53.3,53.95
SIGIND,2021-07-15,54.5,54.9,52.2,52.3,52.75
SIGIND,2021-07-16,52.8,53.8,51.1,51.45,51.6
SIGIND,2021-07-19,52.25,52.85,50.95,51.8,51.5
SIGIND,2021-07-20,52.45,52.45,48.1,49.7,49.65
SIGIND,2021-07-20,52.45,52.45,48.1,49.7,49.65
SIGIND,2021-07-22,50.95,51.0,47.6,47.8,48.5
SIGIND,2021-07-23,49.0,53.35,48.15,53.2,53.2
SIGIND,2021-07-26,57.9,58.5,55.1,58.5,58.5
SIGIND,2021-07-27,63.5,64.35,62.2,64.35,64.35
SIGIND,2021-07-28,64.0,64.0,61.15,61.15,61.15
