COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SIMPLEXINF,2021-07-01,49.15,49.85,48.65,48.65,48.65
SIMPLEXINF,2021-07-02,46.25,50.85,46.25,47.45,47.4
SIMPLEXINF,2021-07-05,48.95,49.75,47.15,49.75,49.75
SIMPLEXINF,2021-07-06,51.05,52.2,48.7,49.7,49.3
SIMPLEXINF,2021-07-07,49.3,51.0,46.85,47.8,47.2
SIMPLEXINF,2021-07-08,48.0,49.55,46.7,47.9,47.0
SIMPLEXINF,2021-07-09,46.2,48.2,45.9,47.6,47.2
SIMPLEXINF,2021-07-12,47.95,49.3,47.1,48.6,48.35
SIMPLEXINF,2021-07-13,48.0,49.35,47.55,48.95,48.95
SIMPLEXINF,2021-07-14,49.5,51.35,48.5,51.35,51.35
SIMPLEXINF,2021-07-15,52.9,52.9,50.4,50.5,50.95
SIMPLEXINF,2021-07-16,51.95,51.95,50.3,50.7,50.65
SIMPLEXINF,2021-07-19,50.9,52.0,49.35,51.55,51.45
SIMPLEXINF,2021-07-20,51.0,51.95,48.9,49.1,49.75
SIMPLEXINF,2021-07-20,51.0,51.95,48.9,49.1,49.75
SIMPLEXINF,2021-07-22,50.0,50.8,48.35,48.85,48.8
SIMPLEXINF,2021-07-23,49.95,50.5,48.5,48.55,49.35
SIMPLEXINF,2021-07-26,49.1,50.1,48.4,49.2,48.85
SIMPLEXINF,2021-07-27,50.0,50.0,47.25,47.7,48.1
SIMPLEXINF,2021-07-28,48.1,48.6,45.7,46.4,46.35
