COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SIRCA,2021-07-01,330.25,330.35,323.0,326.65,324.1
SIRCA,2021-07-02,329.4,334.7,320.55,334.0,330.25
SIRCA,2021-07-05,338.9,338.9,330.0,332.0,333.1
SIRCA,2021-07-06,338.95,366.4,333.25,335.0,335.15
SIRCA,2021-07-07,339.5,344.95,331.1,332.0,332.25
SIRCA,2021-07-08,336.0,338.75,316.6,325.0,323.4
SIRCA,2021-07-09,325.05,333.05,325.0,330.0,329.15
SIRCA,2021-07-12,336.0,336.0,318.45,322.95,322.45
SIRCA,2021-07-13,324.95,326.95,320.3,321.85,321.7
SIRCA,2021-07-14,322.05,333.0,322.05,326.15,328.05
SIRCA,2021-07-15,329.0,331.2,324.55,327.0,326.2
SIRCA,2021-07-16,329.85,353.75,324.05,346.0,344.5
SIRCA,2021-07-19,345.75,358.8,344.95,348.0,348.75
SIRCA,2021-07-20,357.4,359.0,314.0,346.7,348.5
SIRCA,2021-07-20,357.4,359.0,314.0,346.7,348.5
SIRCA,2021-07-22,351.1,357.45,349.55,352.45,352.05
SIRCA,2021-07-23,350.0,353.25,344.05,345.1,347.75
SIRCA,2021-07-26,342.1,350.0,342.1,345.25,346.15
SIRCA,2021-07-27,347.95,347.95,337.5,345.0,343.6
SIRCA,2021-07-28,338.5,348.55,334.0,337.5,335.05
