COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SJVN,2021-07-01,28.05,28.25,27.75,27.8,27.8
SJVN,2021-07-02,27.95,27.95,27.65,27.85,27.8
SJVN,2021-07-05,28.0,28.25,27.75,28.2,28.15
SJVN,2021-07-06,28.25,28.4,28.0,28.15,28.05
SJVN,2021-07-07,28.25,28.3,28.0,28.15,28.15
SJVN,2021-07-08,28.15,28.4,27.85,28.15,28.15
SJVN,2021-07-09,28.1,28.35,27.85,28.2,28.25
SJVN,2021-07-12,28.5,30.35,28.3,28.8,28.9
SJVN,2021-07-13,29.2,29.3,28.75,28.85,28.85
SJVN,2021-07-14,29.0,29.0,28.8,28.85,28.85
SJVN,2021-07-15,28.85,29.0,28.3,28.5,28.5
SJVN,2021-07-16,28.7,28.75,27.8,28.1,27.95
SJVN,2021-07-19,27.9,28.15,27.6,27.75,27.7
SJVN,2021-07-20,27.75,27.95,27.2,27.4,27.4
SJVN,2021-07-20,27.75,27.95,27.2,27.4,27.4
SJVN,2021-07-22,27.55,27.65,27.3,27.4,27.35
SJVN,2021-07-23,27.4,27.55,27.1,27.15,27.15
SJVN,2021-07-26,27.25,27.65,27.2,27.4,27.35
SJVN,2021-07-27,27.6,28.3,27.15,27.75,27.65
SJVN,2021-07-28,27.8,27.8,27.3,27.35,27.35
