COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SKIPPER,2021-07-01,91.0,96.5,89.45,91.7,91.95
SKIPPER,2021-07-02,92.0,92.9,89.35,90.55,90.05
SKIPPER,2021-07-05,91.0,91.25,88.5,88.9,88.65
SKIPPER,2021-07-06,89.4,89.85,85.55,86.7,86.5
SKIPPER,2021-07-07,86.5,87.8,84.2,85.0,85.15
SKIPPER,2021-07-08,86.15,95.0,86.0,89.15,88.55
SKIPPER,2021-07-09,89.0,93.6,88.0,89.2,89.25
SKIPPER,2021-07-12,89.65,91.8,88.3,88.95,88.85
SKIPPER,2021-07-13,90.45,91.8,88.25,88.85,89.1
SKIPPER,2021-07-14,89.0,91.2,88.1,88.55,88.65
SKIPPER,2021-07-15,89.95,91.55,86.15,87.0,86.65
SKIPPER,2021-07-16,87.2,91.45,87.2,88.15,87.8
SKIPPER,2021-07-19,87.0,95.55,87.0,92.25,92.35
SKIPPER,2021-07-20,92.5,93.15,87.15,89.0,88.85
SKIPPER,2021-07-20,92.5,93.15,87.15,89.0,88.85
SKIPPER,2021-07-22,90.0,98.35,90.0,94.95,94.45
SKIPPER,2021-07-23,98.0,98.0,92.3,93.55,93.25
SKIPPER,2021-07-26,93.25,96.25,91.6,93.8,93.8
SKIPPER,2021-07-27,94.55,95.4,88.65,90.05,89.95
SKIPPER,2021-07-28,90.65,91.25,87.6,88.7,88.3
