COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SMARTLINK,2021-07-01,117.4,117.4,111.0,112.2,112.5
SMARTLINK,2021-07-02,112.0,114.95,109.5,110.6,110.55
SMARTLINK,2021-07-05,111.0,114.45,110.3,111.5,111.25
SMARTLINK,2021-07-06,111.55,113.4,108.6,109.0,109.2
SMARTLINK,2021-07-07,111.0,113.35,109.5,110.9,110.15
SMARTLINK,2021-07-08,109.55,114.9,109.1,110.65,111.1
SMARTLINK,2021-07-09,112.0,129.9,110.3,124.5,127.25
SMARTLINK,2021-07-12,125.9,130.0,120.0,122.9,122.45
SMARTLINK,2021-07-13,123.65,128.5,121.35,124.0,124.6
SMARTLINK,2021-07-14,125.0,126.9,121.55,121.55,121.95
SMARTLINK,2021-07-15,122.9,126.5,121.1,121.2,121.95
SMARTLINK,2021-07-16,122.05,134.55,121.8,127.0,126.45
SMARTLINK,2021-07-19,125.7,128.45,123.1,125.05,124.95
SMARTLINK,2021-07-20,125.8,126.05,116.25,117.15,117.55
SMARTLINK,2021-07-20,125.8,126.05,116.25,117.15,117.55
SMARTLINK,2021-07-22,119.05,123.9,118.15,119.0,119.55
SMARTLINK,2021-07-23,120.35,122.9,117.5,118.0,118.25
SMARTLINK,2021-07-26,119.0,123.1,117.8,120.3,119.85
SMARTLINK,2021-07-27,120.7,121.65,115.5,117.0,117.05
SMARTLINK,2021-07-28,117.8,117.85,110.15,113.1,114.15
