COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SOBHA,2021-07-01,472.9,474.5,469.05,470.05,470.55
SOBHA,2021-07-02,473.0,473.85,462.0,465.0,464.8
SOBHA,2021-07-05,471.0,483.35,468.0,480.0,479.5
SOBHA,2021-07-06,482.85,496.7,480.65,491.0,490.9
SOBHA,2021-07-07,512.6,535.65,505.3,521.0,516.95
SOBHA,2021-07-08,525.0,559.6,520.5,555.0,548.35
SOBHA,2021-07-09,566.05,572.6,548.0,558.0,556.1
SOBHA,2021-07-12,560.0,578.5,552.05,573.15,572.7
SOBHA,2021-07-13,577.9,581.9,565.35,579.05,577.3
SOBHA,2021-07-14,579.0,579.0,560.3,563.05,565.25
SOBHA,2021-07-15,562.0,678.3,552.55,670.0,673.5
SOBHA,2021-07-16,679.0,688.35,645.0,652.0,658.3
SOBHA,2021-07-19,645.0,656.0,615.35,620.75,620.65
SOBHA,2021-07-20,621.05,627.5,590.2,608.0,608.15
SOBHA,2021-07-20,621.05,627.5,590.2,608.0,608.15
SOBHA,2021-07-22,611.4,619.85,595.55,602.55,602.25
SOBHA,2021-07-23,605.9,635.0,594.05,601.1,604.7
SOBHA,2021-07-26,607.7,626.9,605.5,609.9,608.95
SOBHA,2021-07-27,612.5,614.95,582.0,586.25,585.35
SOBHA,2021-07-28,588.5,593.0,571.3,577.4,578.0
