COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SPECIALITY,2021-07-01,63.8,64.8,63.0,64.55,64.3
SPECIALITY,2021-07-02,64.55,65.0,62.75,63.0,63.3
SPECIALITY,2021-07-05,64.9,65.7,61.55,62.2,62.4
SPECIALITY,2021-07-06,62.8,66.7,62.5,63.4,63.05
SPECIALITY,2021-07-07,63.85,64.6,62.35,63.8,63.9
SPECIALITY,2021-07-08,63.55,74.8,63.5,70.4,70.75
SPECIALITY,2021-07-09,70.4,75.8,69.2,72.8,72.6
SPECIALITY,2021-07-12,73.4,74.4,71.4,73.75,72.75
SPECIALITY,2021-07-13,74.5,74.5,71.5,72.0,71.75
SPECIALITY,2021-07-14,72.2,72.7,69.2,69.3,69.75
SPECIALITY,2021-07-15,70.25,73.7,69.5,71.15,71.75
SPECIALITY,2021-07-16,72.15,73.0,70.7,71.3,72.1
SPECIALITY,2021-07-19,70.7,72.5,68.1,69.3,69.1
SPECIALITY,2021-07-20,68.6,70.0,67.15,67.9,67.7
SPECIALITY,2021-07-20,68.6,70.0,67.15,67.9,67.7
SPECIALITY,2021-07-22,68.2,75.25,68.2,71.95,72.05
SPECIALITY,2021-07-23,72.1,75.0,70.25,72.0,72.05
SPECIALITY,2021-07-26,72.45,73.7,71.4,72.7,72.6
SPECIALITY,2021-07-27,72.95,79.75,71.7,75.9,76.2
SPECIALITY,2021-07-28,77.0,77.8,71.75,74.0,73.95
