COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
STEELCITY,2021-07-01,52.4,52.4,51.2,51.2,51.4
STEELCITY,2021-07-02,51.05,51.9,50.15,51.75,51.45
STEELCITY,2021-07-05,51.45,56.3,51.2,55.35,55.05
STEELCITY,2021-07-06,55.5,55.8,53.1,53.3,53.4
STEELCITY,2021-07-07,52.55,62.7,52.4,60.6,60.8
STEELCITY,2021-07-08,61.5,61.5,57.25,60.3,60.45
STEELCITY,2021-07-09,61.5,62.9,60.6,61.45,61.4
STEELCITY,2021-07-12,62.25,62.45,60.2,60.75,61.0
STEELCITY,2021-07-13,61.9,61.9,59.6,60.9,60.65
STEELCITY,2021-07-14,61.8,64.05,61.4,62.85,62.75
STEELCITY,2021-07-15,62.75,64.25,61.85,63.0,62.85
STEELCITY,2021-07-16,64.8,70.0,61.35,69.25,69.2
STEELCITY,2021-07-19,78.05,83.0,72.0,83.0,83.0
STEELCITY,2021-07-20,90.0,98.7,86.05,91.25,91.95
STEELCITY,2021-07-20,90.0,98.7,86.05,91.25,91.95
STEELCITY,2021-07-22,93.8,94.75,82.8,82.8,82.8
STEELCITY,2021-07-23,83.3,84.9,75.35,76.6,77.05
STEELCITY,2021-07-26,76.0,83.4,76.0,81.05,81.85
STEELCITY,2021-07-27,84.0,84.0,77.8,79.4,78.3
STEELCITY,2021-07-28,80.9,80.9,73.5,75.5,75.55
