COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
STEELXIND,2021-07-01,71.9,73.2,70.0,71.5,71.6
STEELXIND,2021-07-02,74.0,75.25,67.5,73.5,74.05
STEELXIND,2021-07-05,75.0,75.0,70.6,71.0,71.85
STEELXIND,2021-07-06,71.55,72.0,67.0,67.7,67.3
STEELXIND,2021-07-07,68.65,70.0,66.75,68.65,68.55
STEELXIND,2021-07-08,67.1,69.9,67.0,67.0,67.75
STEELXIND,2021-07-09,68.0,70.85,66.65,68.5,70.4
STEELXIND,2021-07-12,71.0,71.45,68.0,69.0,68.65
STEELXIND,2021-07-13,68.3,69.4,67.9,68.05,68.0
STEELXIND,2021-07-14,68.85,70.1,67.5,69.0,69.0
STEELXIND,2021-07-15,68.65,71.0,68.65,69.9,70.2
STEELXIND,2021-07-16,71.0,71.0,68.6,69.85,69.55
STEELXIND,2021-07-19,69.5,69.65,68.05,68.25,68.5
STEELXIND,2021-07-20,68.8,69.6,66.2,66.5,66.65
STEELXIND,2021-07-20,68.8,69.6,66.2,66.5,66.65
STEELXIND,2021-07-22,67.0,69.8,66.6,68.4,67.75
STEELXIND,2021-07-23,68.2,74.5,66.55,73.5,73.8
STEELXIND,2021-07-26,77.0,78.0,74.0,74.2,74.4
STEELXIND,2021-07-27,74.9,75.25,73.0,74.0,73.65
STEELXIND,2021-07-28,73.75,74.55,72.05,73.1,73.05
