COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUBROS,2021-07-01,312.0,315.6,308.5,311.0,310.6
SUBROS,2021-07-02,314.0,318.0,311.95,312.95,313.4
SUBROS,2021-07-05,316.8,317.7,310.8,313.0,312.55
SUBROS,2021-07-06,314.15,327.45,313.15,325.4,325.1
SUBROS,2021-07-07,327.65,336.3,317.0,323.4,320.0
SUBROS,2021-07-08,322.6,325.2,316.25,318.0,317.35
SUBROS,2021-07-09,318.95,321.1,315.0,315.5,316.1
SUBROS,2021-07-12,316.1,331.95,315.0,326.5,325.5
SUBROS,2021-07-13,328.0,339.4,327.0,336.85,337.0
SUBROS,2021-07-14,339.7,342.0,325.1,326.1,328.6
SUBROS,2021-07-15,322.0,333.5,322.0,332.0,332.0
SUBROS,2021-07-16,338.0,339.0,331.4,333.95,333.1
SUBROS,2021-07-19,334.0,334.0,321.9,321.9,324.6
SUBROS,2021-07-20,324.5,327.95,314.7,317.1,315.9
SUBROS,2021-07-20,324.5,327.95,314.7,317.1,315.9
SUBROS,2021-07-22,317.0,320.95,314.0,316.5,317.2
SUBROS,2021-07-23,317.25,322.8,315.5,319.15,319.05
SUBROS,2021-07-26,320.65,320.8,314.55,315.3,316.0
SUBROS,2021-07-27,317.6,335.8,316.2,330.0,329.85
SUBROS,2021-07-28,334.9,335.35,323.0,326.1,326.85
