COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUNTECK,2021-07-01,302.0,303.0,297.05,297.5,298.9
SUNTECK,2021-07-02,299.05,302.7,295.95,297.5,298.35
SUNTECK,2021-07-05,301.6,305.9,298.85,300.6,301.15
SUNTECK,2021-07-06,303.3,310.0,300.35,302.65,302.65
SUNTECK,2021-07-07,303.0,309.65,303.0,307.2,306.95
SUNTECK,2021-07-08,308.0,313.75,304.0,309.4,310.9
SUNTECK,2021-07-09,310.9,337.0,309.25,331.9,332.2
SUNTECK,2021-07-12,335.3,354.5,330.45,348.5,349.4
SUNTECK,2021-07-13,363.5,379.2,353.85,355.2,358.9
SUNTECK,2021-07-14,355.0,363.45,352.25,359.5,359.45
SUNTECK,2021-07-15,361.25,377.8,353.3,369.6,372.55
SUNTECK,2021-07-16,371.8,376.9,363.2,365.5,366.9
SUNTECK,2021-07-19,362.0,373.85,360.3,364.1,367.3
SUNTECK,2021-07-20,365.0,368.0,357.25,360.5,361.45
SUNTECK,2021-07-20,365.0,368.0,357.25,360.5,361.45
SUNTECK,2021-07-22,363.5,376.85,363.05,367.8,369.1
SUNTECK,2021-07-23,372.0,386.4,368.2,375.55,378.1
SUNTECK,2021-07-26,378.0,382.0,370.1,378.4,378.75
SUNTECK,2021-07-27,380.4,382.7,368.95,371.0,375.2
SUNTECK,2021-07-28,374.0,381.0,361.35,377.0,378.0
