COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUULD,2021-07-01,634.95,637.05,625.3,637.05,637.05
SUULD,2021-07-02,668.9,668.9,656.0,657.7,668.4
SUULD,2021-07-05,701.8,701.8,701.8,701.8,701.8
SUULD,2021-07-06,736.85,736.85,667.05,674.5,676.05
SUULD,2021-07-07,654.05,668.9,645.0,645.25,645.35
SUULD,2021-07-08,640.0,640.0,623.0,623.0,623.05
SUULD,2021-07-09,614.0,654.2,591.9,591.9,596.95
SUULD,2021-07-12,570.0,594.0,567.15,567.15,567.15
SUULD,2021-07-13,538.8,588.0,538.8,538.8,538.8
SUULD,2021-07-14,538.0,538.8,511.9,511.9,515.0
SUULD,2021-07-15,498.6,515.0,489.5,489.5,493.95
SUULD,2021-07-16,501.9,518.6,501.9,518.6,518.6
SUULD,2021-07-19,544.5,544.5,517.0,544.5,544.5
SUULD,2021-07-20,569.95,571.7,517.3,517.3,520.45
SUULD,2021-07-20,569.95,571.7,517.3,517.3,520.45
SUULD,2021-07-22,535.0,535.0,505.0,514.0,511.3
SUULD,2021-07-23,513.0,534.95,512.0,529.0,527.3
SUULD,2021-07-26,537.0,549.9,517.0,523.5,523.25
SUULD,2021-07-27,539.0,539.0,512.05,524.0,520.05
SUULD,2021-07-28,533.75,533.75,505.45,518.0,516.8
