COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUVENPHAR,2021-07-01,479.0,489.2,479.0,487.5,486.75
SUVENPHAR,2021-07-02,489.0,494.0,485.3,490.0,490.2
SUVENPHAR,2021-07-05,494.0,494.65,482.25,483.0,484.45
SUVENPHAR,2021-07-06,484.45,487.0,473.0,475.9,474.9
SUVENPHAR,2021-07-07,473.0,476.65,466.2,471.4,472.05
SUVENPHAR,2021-07-08,478.7,479.55,470.4,471.0,471.25
SUVENPHAR,2021-07-09,468.55,477.0,468.0,471.8,471.85
SUVENPHAR,2021-07-12,475.95,477.5,470.0,471.5,471.4
SUVENPHAR,2021-07-13,475.4,475.5,467.9,468.45,468.35
SUVENPHAR,2021-07-14,468.45,473.95,463.3,468.0,468.15
SUVENPHAR,2021-07-15,468.15,470.85,462.8,467.9,465.6
SUVENPHAR,2021-07-16,467.95,470.85,457.0,464.05,464.65
SUVENPHAR,2021-07-19,464.9,468.85,457.05,467.35,463.05
SUVENPHAR,2021-07-20,459.1,477.0,459.1,474.0,474.3
SUVENPHAR,2021-07-20,459.1,477.0,459.1,474.0,474.3
SUVENPHAR,2021-07-22,480.0,490.0,473.45,489.75,487.05
SUVENPHAR,2021-07-23,490.4,505.0,482.0,502.9,501.5
SUVENPHAR,2021-07-26,502.0,507.8,497.05,499.9,499.4
SUVENPHAR,2021-07-27,502.0,510.5,481.35,498.0,492.4
SUVENPHAR,2021-07-28,493.0,498.65,484.75,494.25,495.65
