COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUVIDHAA,2021-07-01,25.0,25.65,24.3,25.0,24.75
SUVIDHAA,2021-07-02,25.0,25.95,24.7,25.95,25.95
SUVIDHAA,2021-07-05,27.2,27.2,26.85,27.2,27.2
SUVIDHAA,2021-07-06,28.55,28.55,26.65,28.45,28.35
SUVIDHAA,2021-07-07,28.8,29.75,28.0,28.2,28.4
SUVIDHAA,2021-07-08,29.3,29.3,27.0,27.0,27.0
SUVIDHAA,2021-07-09,26.75,26.75,25.65,26.1,25.95
SUVIDHAA,2021-07-12,26.5,27.1,26.2,26.9,26.6
SUVIDHAA,2021-07-13,27.0,27.5,26.0,26.9,26.55
SUVIDHAA,2021-07-14,27.1,27.15,26.0,26.45,26.2
SUVIDHAA,2021-07-15,26.75,27.0,25.45,26.35,26.45
SUVIDHAA,2021-07-16,26.9,26.9,25.15,25.15,25.15
SUVIDHAA,2021-07-19,25.0,26.0,24.9,25.25,25.35
SUVIDHAA,2021-07-20,25.35,25.75,24.3,25.1,25.25
SUVIDHAA,2021-07-20,25.35,25.75,24.3,25.1,25.25
SUVIDHAA,2021-07-22,25.0,26.5,25.0,26.0,25.9
SUVIDHAA,2021-07-23,25.7,26.15,25.1,25.7,25.45
SUVIDHAA,2021-07-26,26.0,26.25,24.7,24.9,24.9
SUVIDHAA,2021-07-27,25.9,25.9,24.6,24.6,24.75
SUVIDHAA,2021-07-28,25.4,25.4,23.55,23.7,23.6
