COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUZLON,2021-07-01,8.4,8.4,8.4,8.4,8.4
SUZLON,2021-07-02,8.8,8.8,8.8,8.8,8.8
SUZLON,2021-07-05,9.2,9.2,9.2,9.2,9.2
SUZLON,2021-07-06,9.25,9.45,8.75,8.75,8.75
SUZLON,2021-07-07,8.35,8.5,8.35,8.35,8.35
SUZLON,2021-07-08,8.2,8.75,8.2,8.6,8.55
SUZLON,2021-07-09,8.6,8.75,8.3,8.55,8.5
SUZLON,2021-07-12,8.6,8.65,8.2,8.3,8.3
SUZLON,2021-07-13,8.35,8.4,7.9,8.0,8.0
SUZLON,2021-07-14,7.95,8.2,7.8,7.95,7.9
SUZLON,2021-07-15,7.95,8.25,7.85,8.15,8.2
SUZLON,2021-07-16,8.1,8.15,7.9,8.0,7.95
SUZLON,2021-07-19,7.8,7.95,7.65,7.75,7.7
SUZLON,2021-07-20,7.75,7.8,7.35,7.45,7.4
SUZLON,2021-07-20,7.75,7.8,7.35,7.45,7.4
SUZLON,2021-07-22,7.4,7.65,7.4,7.55,7.6
SUZLON,2021-07-23,7.6,7.65,7.25,7.4,7.35
SUZLON,2021-07-26,7.4,7.6,7.2,7.3,7.3
SUZLON,2021-07-27,7.35,7.4,6.95,6.95,6.95
SUZLON,2021-07-28,6.75,6.8,6.65,6.65,6.65
