COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TAJGVK,2021-07-01,138.35,138.8,136.0,136.6,136.55
TAJGVK,2021-07-02,137.0,137.55,136.1,137.5,136.4
TAJGVK,2021-07-05,138.55,142.4,138.0,139.35,139.4
TAJGVK,2021-07-06,140.0,141.55,136.55,137.0,137.3
TAJGVK,2021-07-07,138.0,140.85,136.45,136.7,136.9
TAJGVK,2021-07-08,137.5,139.9,133.6,136.6,137.25
TAJGVK,2021-07-09,136.8,139.4,135.45,136.0,136.0
TAJGVK,2021-07-12,136.0,137.9,135.4,135.7,136.0
TAJGVK,2021-07-13,137.15,140.4,134.4,137.85,137.75
TAJGVK,2021-07-14,138.1,138.55,136.8,137.2,137.1
TAJGVK,2021-07-15,136.2,138.05,136.0,136.3,136.3
TAJGVK,2021-07-16,136.9,138.7,135.8,136.0,136.05
TAJGVK,2021-07-19,136.0,136.6,133.8,135.25,135.4
TAJGVK,2021-07-20,133.5,135.05,130.85,131.5,131.5
TAJGVK,2021-07-20,133.5,135.05,130.85,131.5,131.5
TAJGVK,2021-07-22,133.45,133.45,130.0,131.2,131.1
TAJGVK,2021-07-23,132.75,132.75,130.3,130.85,130.95
TAJGVK,2021-07-26,131.55,132.45,129.0,130.0,129.85
TAJGVK,2021-07-27,129.85,131.45,129.5,130.2,130.0
TAJGVK,2021-07-28,130.2,132.85,128.15,129.9,129.4
