COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TAKE,2021-07-01,63.5,63.7,61.5,61.65,61.65
TAKE,2021-07-02,61.2,66.95,61.2,65.95,66.0
TAKE,2021-07-05,66.35,67.8,65.35,66.4,66.4
TAKE,2021-07-06,66.75,67.0,64.1,64.6,64.45
TAKE,2021-07-07,64.8,65.35,63.6,64.3,64.25
TAKE,2021-07-08,64.45,65.7,63.0,63.9,63.9
TAKE,2021-07-09,64.05,65.2,63.35,63.95,64.05
TAKE,2021-07-12,64.6,65.4,63.75,64.25,64.3
TAKE,2021-07-13,64.7,64.75,63.5,63.85,63.75
TAKE,2021-07-14,64.0,66.05,63.55,64.3,64.3
TAKE,2021-07-15,64.35,67.4,64.35,65.35,65.45
TAKE,2021-07-16,65.45,67.3,64.65,65.05,64.95
TAKE,2021-07-19,64.45,64.6,63.0,63.5,63.35
TAKE,2021-07-20,63.65,63.7,60.0,61.2,61.05
TAKE,2021-07-20,63.65,63.7,60.0,61.2,61.05
TAKE,2021-07-22,61.8,62.95,61.55,62.3,61.85
TAKE,2021-07-23,62.35,65.2,61.25,63.85,64.1
TAKE,2021-07-26,63.9,64.1,61.95,62.1,62.2
TAKE,2021-07-27,62.2,62.85,60.55,61.1,61.15
TAKE,2021-07-28,61.25,61.55,58.2,59.75,59.4
