COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TATASTEEL,2021-07-01,1171.9,1176.8,1156.45,1162.9,1163.55
TATASTEEL,2021-07-02,1166.0,1166.8,1130.2,1137.9,1136.0
TATASTEEL,2021-07-05,1146.0,1161.8,1136.0,1158.5,1156.85
TATASTEEL,2021-07-06,1158.65,1178.0,1150.25,1165.9,1167.25
TATASTEEL,2021-07-07,1167.95,1225.0,1158.5,1225.0,1218.65
TATASTEEL,2021-07-08,1225.0,1230.0,1181.2,1190.0,1189.75
TATASTEEL,2021-07-09,1192.0,1244.1,1188.0,1239.75,1239.35
TATASTEEL,2021-07-12,1251.0,1258.5,1218.35,1225.0,1226.95
TATASTEEL,2021-07-13,1238.0,1243.45,1223.1,1229.5,1228.75
TATASTEEL,2021-07-14,1231.95,1247.7,1219.0,1243.4,1244.7
TATASTEEL,2021-07-15,1246.1,1265.8,1237.7,1257.6,1255.95
TATASTEEL,2021-07-16,1264.7,1281.3,1259.05,1274.75,1278.45
TATASTEEL,2021-07-19,1259.0,1290.9,1253.7,1264.05,1266.4
TATASTEEL,2021-07-20,1272.0,1272.3,1225.0,1231.95,1233.35
TATASTEEL,2021-07-20,1272.0,1272.3,1225.0,1231.95,1233.35
TATASTEEL,2021-07-22,1249.0,1277.95,1248.0,1277.95,1273.0
TATASTEEL,2021-07-23,1279.35,1295.5,1274.0,1279.05,1281.4
TATASTEEL,2021-07-26,1289.0,1308.25,1278.05,1297.0,1297.95
TATASTEEL,2021-07-27,1315.0,1334.5,1308.05,1333.5,1330.65
TATASTEEL,2021-07-28,1332.0,1369.95,1306.2,1368.05,1365.0
