COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TCS,2021-07-01,3358.0,3362.0,3332.35,3338.0,3341.5
TCS,2021-07-02,3331.0,3339.7,3295.2,3329.0,3325.45
TCS,2021-07-05,3342.0,3374.0,3302.0,3328.0,3321.0
TCS,2021-07-06,3313.0,3328.0,3256.1,3273.65,3262.3
TCS,2021-07-07,3275.0,3282.7,3241.6,3275.85,3274.95
TCS,2021-07-08,3298.0,3298.0,3231.9,3253.0,3258.5
TCS,2021-07-09,3250.0,3282.0,3201.0,3211.8,3208.15
TCS,2021-07-12,3235.0,3236.0,3188.35,3198.4,3193.1
TCS,2021-07-13,3214.0,3214.0,3175.0,3190.4,3187.55
TCS,2021-07-14,3187.0,3222.0,3185.0,3214.4,3214.55
TCS,2021-07-15,3227.6,3231.85,3194.0,3201.9,3202.95
TCS,2021-07-16,3213.0,3219.85,3192.0,3194.5,3194.8
TCS,2021-07-19,3180.0,3199.8,3176.0,3184.9,3184.6
TCS,2021-07-20,3184.6,3215.0,3156.15,3203.85,3205.8
TCS,2021-07-20,3184.6,3215.0,3156.15,3203.85,3205.8
TCS,2021-07-22,3190.0,3224.95,3190.0,3214.7,3216.35
TCS,2021-07-23,3230.0,3241.55,3206.65,3210.0,3212.85
TCS,2021-07-26,3200.0,3224.25,3190.85,3200.35,3197.55
TCS,2021-07-27,3200.0,3210.0,3161.15,3187.95,3182.95
TCS,2021-07-28,3188.0,3204.45,3132.4,3199.9,3197.8
