COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TECHNOE,2021-07-01,334.0,338.0,325.15,328.5,330.2
TECHNOE,2021-07-02,328.55,332.85,321.1,324.9,323.9
TECHNOE,2021-07-05,325.1,328.5,319.0,319.1,320.1
TECHNOE,2021-07-06,324.0,326.25,310.2,312.6,315.15
TECHNOE,2021-07-07,318.8,318.8,310.5,314.0,313.95
TECHNOE,2021-07-08,314.7,317.1,308.85,313.9,313.15
TECHNOE,2021-07-09,315.7,315.95,310.25,310.25,311.45
TECHNOE,2021-07-12,317.5,317.5,310.9,312.0,311.8
TECHNOE,2021-07-13,315.95,322.75,312.55,315.0,314.85
TECHNOE,2021-07-14,318.9,320.5,312.05,313.75,313.8
TECHNOE,2021-07-15,315.0,318.0,311.05,313.55,313.4
TECHNOE,2021-07-16,315.0,315.0,309.25,310.95,310.65
TECHNOE,2021-07-19,312.95,312.95,305.0,309.1,309.15
TECHNOE,2021-07-20,310.0,311.8,293.65,296.3,296.0
TECHNOE,2021-07-20,310.0,311.8,293.65,296.3,296.0
TECHNOE,2021-07-22,302.7,307.85,298.4,299.0,299.8
TECHNOE,2021-07-23,302.65,317.6,299.15,309.55,310.75
TECHNOE,2021-07-26,315.0,315.0,306.6,310.0,309.85
TECHNOE,2021-07-27,314.9,315.0,302.25,304.0,304.75
TECHNOE,2021-07-28,306.0,307.95,298.2,299.9,299.85
