COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TERASOFT,2021-07-01,55.85,56.15,54.3,55.4,55.0
TERASOFT,2021-07-02,57.0,57.0,55.0,55.55,55.5
TERASOFT,2021-07-05,55.55,58.85,55.35,56.85,56.9
TERASOFT,2021-07-06,56.15,59.45,56.15,56.65,56.45
TERASOFT,2021-07-07,59.0,59.0,56.0,57.0,56.75
TERASOFT,2021-07-08,58.25,58.25,56.4,56.4,56.85
TERASOFT,2021-07-09,55.1,57.0,55.1,55.65,55.7
TERASOFT,2021-07-12,56.9,56.9,55.2,55.2,55.35
TERASOFT,2021-07-13,55.15,56.0,54.5,54.55,54.65
TERASOFT,2021-07-14,54.0,61.0,54.0,59.0,59.35
TERASOFT,2021-07-15,62.15,71.2,62.15,71.2,71.2
TERASOFT,2021-07-16,74.0,84.9,73.1,78.55,78.95
TERASOFT,2021-07-19,78.0,84.75,75.1,81.7,81.55
TERASOFT,2021-07-20,82.2,85.0,77.2,79.3,79.2
TERASOFT,2021-07-20,82.2,85.0,77.2,79.3,79.2
TERASOFT,2021-07-22,81.9,83.45,79.0,80.35,79.65
TERASOFT,2021-07-23,82.0,82.0,74.2,74.9,74.85
TERASOFT,2021-07-26,75.0,75.95,70.6,71.5,71.35
TERASOFT,2021-07-27,72.0,73.85,68.55,70.6,70.1
TERASOFT,2021-07-28,70.2,72.7,67.1,69.45,68.65
