COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
THEMISMED,2021-07-01,691.0,702.4,669.65,679.15,680.3
THEMISMED,2021-07-02,680.0,680.0,656.65,670.0,669.3
THEMISMED,2021-07-05,691.0,736.2,662.25,736.2,727.0
THEMISMED,2021-07-06,742.0,769.8,733.3,735.0,743.8
THEMISMED,2021-07-07,743.8,770.0,722.05,755.0,750.9
THEMISMED,2021-07-08,749.75,765.2,736.0,736.6,743.0
THEMISMED,2021-07-09,736.15,759.9,733.75,740.0,743.85
THEMISMED,2021-07-12,760.0,766.05,745.0,765.0,761.2
THEMISMED,2021-07-13,769.95,779.0,753.35,766.05,766.55
THEMISMED,2021-07-14,763.5,843.2,763.5,843.2,838.75
THEMISMED,2021-07-15,858.75,909.95,842.0,879.45,887.3
THEMISMED,2021-07-16,887.3,905.2,856.75,877.0,872.85
THEMISMED,2021-07-19,870.0,889.1,837.95,874.95,870.0
THEMISMED,2021-07-20,871.0,957.0,871.0,950.0,939.85
THEMISMED,2021-07-20,871.0,957.0,871.0,950.0,939.85
THEMISMED,2021-07-22,955.9,960.0,920.05,933.0,930.95
THEMISMED,2021-07-23,931.0,935.2,898.7,914.0,913.15
THEMISMED,2021-07-26,930.0,975.0,914.7,945.05,937.65
THEMISMED,2021-07-27,940.0,959.35,907.0,907.3,910.4
THEMISMED,2021-07-28,915.0,937.6,905.0,937.0,921.15
