COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TIJARIA,2021-07-01,8.75,9.55,8.75,9.5,9.45
TIJARIA,2021-07-02,9.75,9.9,9.15,9.15,9.35
TIJARIA,2021-07-05,9.2,9.75,9.0,9.55,9.55
TIJARIA,2021-07-06,9.75,10.0,9.2,9.95,9.6
TIJARIA,2021-07-07,9.95,9.95,9.4,9.9,9.85
TIJARIA,2021-07-08,10.15,10.15,9.55,9.65,9.6
TIJARIA,2021-07-09,9.9,9.9,9.4,9.5,9.5
TIJARIA,2021-07-12,9.9,9.9,9.3,9.6,9.45
TIJARIA,2021-07-13,9.5,9.8,9.2,9.2,9.3
TIJARIA,2021-07-14,9.3,9.65,8.85,9.1,9.15
TIJARIA,2021-07-15,9.5,9.5,8.9,9.35,9.35
TIJARIA,2021-07-16,9.2,9.4,8.9,8.9,8.9
TIJARIA,2021-07-19,8.9,8.9,8.55,8.6,8.75
