COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TIMESGTY,2021-07-01,53.0,55.0,53.0,54.75,54.7
TIMESGTY,2021-07-02,54.7,54.7,52.3,52.5,52.6
TIMESGTY,2021-07-05,53.85,53.85,51.35,52.0,52.0
TIMESGTY,2021-07-06,52.0,52.85,51.05,52.3,52.3
TIMESGTY,2021-07-07,53.3,53.3,51.05,51.65,52.2
TIMESGTY,2021-07-08,52.95,52.95,50.35,50.35,50.85
TIMESGTY,2021-07-09,49.7,52.85,49.7,52.75,52.35
TIMESGTY,2021-07-12,53.65,54.95,51.85,54.95,54.95
TIMESGTY,2021-07-13,55.5,57.65,55.1,56.5,56.65
TIMESGTY,2021-07-14,56.0,58.65,55.0,56.9,55.7
TIMESGTY,2021-07-15,57.65,57.65,53.5,53.5,53.8
TIMESGTY,2021-07-16,54.9,55.0,51.75,54.45,54.2
TIMESGTY,2021-07-19,54.0,56.9,53.65,56.9,56.9
TIMESGTY,2021-07-20,59.65,59.65,55.25,55.45,57.05
TIMESGTY,2021-07-20,59.65,59.65,55.25,55.45,57.05
TIMESGTY,2021-07-22,55.6,57.9,54.5,57.0,57.0
TIMESGTY,2021-07-23,55.35,58.0,55.35,56.2,56.05
TIMESGTY,2021-07-26,57.0,57.35,56.0,57.3,57.1
TIMESGTY,2021-07-27,55.1,57.0,54.7,54.8,54.85
TIMESGTY,2021-07-28,54.4,55.35,52.15,52.15,52.6
