COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TIMETECHNO,2021-07-01,91.9,91.9,88.7,89.5,89.4
TIMETECHNO,2021-07-02,89.9,91.0,87.7,90.0,89.9
TIMETECHNO,2021-07-05,90.7,90.7,88.0,88.9,88.45
TIMETECHNO,2021-07-06,88.9,91.0,85.55,87.0,86.75
TIMETECHNO,2021-07-07,86.85,87.5,84.85,85.8,85.55
TIMETECHNO,2021-07-08,85.5,86.45,84.35,85.45,85.25
TIMETECHNO,2021-07-09,85.2,85.9,84.4,85.2,85.2
TIMETECHNO,2021-07-12,85.9,87.5,84.95,86.1,86.2
TIMETECHNO,2021-07-13,86.25,87.0,85.65,86.0,86.2
TIMETECHNO,2021-07-14,86.5,86.95,84.8,85.2,85.2
TIMETECHNO,2021-07-15,85.6,85.95,83.6,84.1,84.0
TIMETECHNO,2021-07-16,84.1,84.65,83.1,84.25,83.6
TIMETECHNO,2021-07-19,83.2,84.3,82.5,83.8,83.75
TIMETECHNO,2021-07-20,83.5,85.85,80.5,82.4,81.9
TIMETECHNO,2021-07-20,83.5,85.85,80.5,82.4,81.9
TIMETECHNO,2021-07-22,82.7,84.0,81.8,83.1,83.05
TIMETECHNO,2021-07-23,83.6,83.95,82.15,82.9,82.65
TIMETECHNO,2021-07-26,82.5,83.75,82.1,83.1,83.1
TIMETECHNO,2021-07-27,83.5,84.35,82.25,82.5,82.5
TIMETECHNO,2021-07-28,82.6,83.0,79.8,80.0,80.7
