COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TOTAL,2021-07-01,53.0,53.0,51.0,51.35,51.2
TOTAL,2021-07-02,49.6,52.05,49.6,50.45,50.35
TOTAL,2021-07-05,49.85,51.35,48.5,49.75,49.65
TOTAL,2021-07-06,50.55,50.95,49.2,49.2,49.6
TOTAL,2021-07-07,50.65,50.65,48.3,49.6,49.25
TOTAL,2021-07-08,48.65,49.7,48.5,48.5,48.85
TOTAL,2021-07-09,49.1,50.25,48.1,48.3,48.25
TOTAL,2021-07-12,50.7,50.7,48.2,49.0,48.8
TOTAL,2021-07-13,49.75,49.75,47.4,48.7,48.4
TOTAL,2021-07-14,48.65,49.65,47.0,48.0,47.85
TOTAL,2021-07-15,47.9,48.75,47.2,48.5,48.3
TOTAL,2021-07-16,47.95,57.95,47.75,57.2,57.7
TOTAL,2021-07-19,54.5,66.0,54.1,64.5,64.7
TOTAL,2021-07-20,70.5,73.65,66.6,67.0,67.7
TOTAL,2021-07-20,70.5,73.65,66.6,67.0,67.7
TOTAL,2021-07-22,68.55,69.0,61.55,63.6,63.45
TOTAL,2021-07-23,64.95,64.95,59.0,59.9,60.05
TOTAL,2021-07-26,60.65,64.8,58.7,60.9,60.15
TOTAL,2021-07-27,61.5,62.95,58.0,59.7,58.75
TOTAL,2021-07-28,60.0,62.0,58.0,59.0,58.85
