COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TRIVENI,2021-07-01,194.95,199.4,194.0,198.3,197.8
TRIVENI,2021-07-02,198.8,208.6,198.7,204.9,205.5
TRIVENI,2021-07-05,207.45,209.0,201.65,203.2,202.7
TRIVENI,2021-07-06,201.0,209.4,194.25,197.15,195.9
TRIVENI,2021-07-07,194.25,195.9,187.0,194.8,192.6
TRIVENI,2021-07-08,193.0,201.8,192.0,194.9,195.25
TRIVENI,2021-07-09,197.2,201.65,195.25,199.15,199.25
TRIVENI,2021-07-12,202.0,204.65,196.7,197.2,198.35
TRIVENI,2021-07-13,199.3,201.75,195.9,197.6,198.5
TRIVENI,2021-07-14,196.65,199.65,196.65,199.6,199.2
TRIVENI,2021-07-15,199.2,199.95,192.6,195.6,195.2
TRIVENI,2021-07-16,195.6,195.75,190.55,190.9,191.1
TRIVENI,2021-07-19,190.0,198.95,188.9,193.7,193.6
TRIVENI,2021-07-20,192.9,194.4,184.15,188.0,187.9
TRIVENI,2021-07-20,192.9,194.4,184.15,188.0,187.9
TRIVENI,2021-07-22,189.0,192.25,185.05,186.3,186.7
TRIVENI,2021-07-23,187.95,189.6,182.2,183.9,184.35
TRIVENI,2021-07-26,178.35,178.35,159.45,172.0,172.3
TRIVENI,2021-07-27,175.0,183.6,175.0,181.2,181.05
TRIVENI,2021-07-28,182.9,184.9,173.6,175.4,176.7
