COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
TVTODAY,2021-07-01,299.9,301.55,287.1,298.0,294.15
TVTODAY,2021-07-02,296.5,305.0,296.5,304.5,304.15
TVTODAY,2021-07-05,305.0,309.8,302.1,303.85,304.15
TVTODAY,2021-07-06,306.0,307.0,298.1,300.0,299.65
TVTODAY,2021-07-07,301.0,307.0,299.05,306.0,305.7
TVTODAY,2021-07-08,307.0,307.0,300.0,301.4,302.0
TVTODAY,2021-07-09,302.0,303.9,299.45,303.0,302.9
TVTODAY,2021-07-12,305.0,307.0,298.0,299.0,298.45
TVTODAY,2021-07-13,299.3,302.5,296.1,298.8,297.3
TVTODAY,2021-07-14,298.55,301.95,296.85,301.8,300.35
TVTODAY,2021-07-15,301.8,303.6,298.0,299.0,299.9
TVTODAY,2021-07-16,301.4,302.8,296.1,300.7,299.95
TVTODAY,2021-07-19,305.0,307.0,301.2,305.35,305.4
TVTODAY,2021-07-20,305.0,306.95,297.5,300.1,301.0
TVTODAY,2021-07-20,305.0,306.95,297.5,300.1,301.0
TVTODAY,2021-07-22,302.55,304.4,297.5,302.1,301.85
TVTODAY,2021-07-23,302.25,303.6,298.75,299.5,299.35
TVTODAY,2021-07-26,300.65,300.8,297.0,298.05,297.75
TVTODAY,2021-07-27,299.25,299.95,295.0,297.5,296.8
TVTODAY,2021-07-28,298.0,298.0,290.5,291.35,291.65
