COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UCALFUEL,2021-07-01,187.0,187.0,173.55,175.0,175.15
UCALFUEL,2021-07-02,175.0,177.1,170.4,172.55,172.8
UCALFUEL,2021-07-05,172.85,175.8,170.4,171.5,172.25
UCALFUEL,2021-07-06,172.0,173.8,168.6,169.85,169.15
UCALFUEL,2021-07-07,170.5,173.5,169.0,172.8,172.15
UCALFUEL,2021-07-08,174.0,174.15,170.6,171.75,171.3
UCALFUEL,2021-07-09,170.75,174.75,168.8,171.3,171.35
UCALFUEL,2021-07-12,172.45,173.4,169.25,169.85,170.05
UCALFUEL,2021-07-13,170.8,171.95,166.4,167.25,167.9
UCALFUEL,2021-07-14,167.95,169.95,166.55,166.55,167.35
UCALFUEL,2021-07-15,167.5,169.7,163.65,164.5,164.4
UCALFUEL,2021-07-16,165.5,166.4,160.9,160.9,161.85
UCALFUEL,2021-07-19,158.1,163.95,158.05,162.5,161.85
UCALFUEL,2021-07-20,161.5,162.75,157.5,158.7,158.55
UCALFUEL,2021-07-20,161.5,162.75,157.5,158.7,158.55
UCALFUEL,2021-07-22,158.95,160.95,155.0,156.3,156.25
UCALFUEL,2021-07-23,157.4,163.7,156.5,159.1,158.65
UCALFUEL,2021-07-26,158.95,165.95,157.85,164.95,165.25
UCALFUEL,2021-07-27,166.05,166.5,161.0,161.6,161.5
UCALFUEL,2021-07-28,162.3,166.0,161.5,162.5,161.8
