COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UFLEX,2021-07-01,583.85,593.9,535.5,542.0,544.9
UFLEX,2021-07-02,545.0,569.0,536.55,541.0,541.4
UFLEX,2021-07-05,545.0,554.8,542.5,547.5,546.2
UFLEX,2021-07-06,549.0,550.45,535.0,537.4,537.55
UFLEX,2021-07-07,537.55,544.7,529.4,531.8,531.6
UFLEX,2021-07-08,534.9,538.05,525.05,531.85,532.65
UFLEX,2021-07-09,525.0,561.8,521.5,548.8,549.95
UFLEX,2021-07-12,556.8,568.95,554.5,561.0,562.2
UFLEX,2021-07-13,563.0,566.9,540.0,543.0,541.95
UFLEX,2021-07-14,544.9,562.0,540.0,542.75,541.45
UFLEX,2021-07-15,542.1,551.2,532.75,535.6,535.15
UFLEX,2021-07-16,539.0,546.0,526.5,530.5,530.0
UFLEX,2021-07-19,526.0,549.5,526.0,528.95,529.5
UFLEX,2021-07-20,531.0,540.0,520.0,520.5,520.85
UFLEX,2021-07-20,531.0,540.0,520.0,520.5,520.85
UFLEX,2021-07-22,525.0,548.0,524.95,528.55,528.15
UFLEX,2021-07-23,532.8,539.0,518.55,521.0,520.3
UFLEX,2021-07-26,524.15,529.5,511.25,514.15,513.15
UFLEX,2021-07-27,517.95,523.0,512.1,523.0,518.95
UFLEX,2021-07-28,523.35,553.0,518.3,547.0,545.35
