COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UNIENTER,2021-07-01,134.95,135.75,132.05,133.95,133.4
UNIENTER,2021-07-02,134.7,134.8,125.8,131.4,130.6
UNIENTER,2021-07-05,131.0,139.4,131.0,134.8,135.15
UNIENTER,2021-07-06,134.0,136.65,131.2,132.5,131.7
UNIENTER,2021-07-07,131.95,136.5,131.05,134.85,134.3
UNIENTER,2021-07-08,136.05,136.05,132.0,132.15,132.5
UNIENTER,2021-07-09,134.0,135.0,129.2,131.0,130.35
UNIENTER,2021-07-12,131.05,133.0,130.2,130.3,130.7
UNIENTER,2021-07-13,132.8,136.8,130.5,135.8,135.55
UNIENTER,2021-07-14,137.5,147.6,135.35,141.65,141.45
UNIENTER,2021-07-15,142.2,145.75,134.1,136.7,136.85
UNIENTER,2021-07-16,136.95,140.05,135.1,137.5,137.15
UNIENTER,2021-07-19,139.45,139.5,132.35,133.35,134.2
UNIENTER,2021-07-20,137.85,141.6,129.7,135.0,134.9
UNIENTER,2021-07-20,137.85,141.6,129.7,135.0,134.9
UNIENTER,2021-07-22,135.2,140.5,135.2,136.5,137.25
UNIENTER,2021-07-23,139.0,139.2,134.5,135.55,136.6
UNIENTER,2021-07-26,135.3,139.9,135.3,137.25,137.1
UNIENTER,2021-07-27,138.7,139.0,134.5,134.55,135.5
UNIENTER,2021-07-28,136.95,136.95,131.3,135.5,135.4
