COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UNITEDTEA,2021-07-01,357.8,370.0,345.7,352.45,351.35
UNITEDTEA,2021-07-02,357.0,357.0,341.0,344.0,347.4
UNITEDTEA,2021-07-05,351.45,354.0,342.95,343.25,345.9
UNITEDTEA,2021-07-06,348.05,361.35,339.5,352.0,350.8
UNITEDTEA,2021-07-07,352.25,352.25,343.9,345.6,347.5
UNITEDTEA,2021-07-08,352.65,352.65,344.45,346.5,346.2
UNITEDTEA,2021-07-09,336.05,347.9,336.05,341.9,340.45
UNITEDTEA,2021-07-12,341.3,343.45,337.0,337.0,338.05
UNITEDTEA,2021-07-13,343.95,358.95,339.0,356.0,356.45
UNITEDTEA,2021-07-14,356.95,356.95,347.05,347.8,349.3
UNITEDTEA,2021-07-15,349.0,354.5,343.5,344.05,346.25
UNITEDTEA,2021-07-16,345.0,349.65,343.3,344.3,345.6
UNITEDTEA,2021-07-19,339.0,355.8,339.0,344.55,350.05
UNITEDTEA,2021-07-20,350.75,353.0,340.05,340.05,340.85
UNITEDTEA,2021-07-20,350.75,353.0,340.05,340.05,340.85
UNITEDTEA,2021-07-22,342.0,347.1,342.0,343.0,343.35
UNITEDTEA,2021-07-23,347.85,412.0,343.05,378.55,378.8
UNITEDTEA,2021-07-26,381.0,402.2,370.5,370.6,377.6
UNITEDTEA,2021-07-27,382.15,453.1,379.0,453.1,453.1
UNITEDTEA,2021-07-28,485.0,499.9,438.0,445.0,452.85
