COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UTIAMC,2021-07-01,858.05,872.7,843.0,850.0,849.7
UTIAMC,2021-07-02,852.7,854.9,844.2,848.5,849.25
UTIAMC,2021-07-05,859.0,859.0,835.0,842.0,843.15
UTIAMC,2021-07-06,844.2,865.0,838.1,845.0,848.6
UTIAMC,2021-07-07,852.0,858.0,844.1,845.8,846.95
UTIAMC,2021-07-08,860.0,861.95,821.25,825.0,825.3
UTIAMC,2021-07-09,828.3,838.35,822.0,829.95,827.35
UTIAMC,2021-07-12,835.0,837.05,822.5,824.15,824.75
UTIAMC,2021-07-13,827.9,838.65,819.1,819.1,826.4
UTIAMC,2021-07-14,830.0,859.95,827.45,844.0,844.75
UTIAMC,2021-07-15,848.5,865.05,842.5,857.0,854.45
UTIAMC,2021-07-16,862.3,908.0,862.0,873.0,879.15
UTIAMC,2021-07-19,855.95,907.15,855.95,895.25,893.5
UTIAMC,2021-07-20,895.7,901.4,860.3,870.0,873.25
UTIAMC,2021-07-20,895.7,901.4,860.3,870.0,873.25
UTIAMC,2021-07-22,877.0,917.85,877.0,898.0,899.75
UTIAMC,2021-07-23,908.8,948.85,890.45,918.0,918.2
UTIAMC,2021-07-26,924.95,936.6,912.9,922.2,926.35
UTIAMC,2021-07-27,930.0,937.05,919.0,925.0,923.2
UTIAMC,2021-07-28,931.0,993.7,923.15,953.0,955.1
