COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
UTIBANKETF,2021-07-01,35.75,35.75,34.4,34.5,34.59
UTIBANKETF,2021-07-02,34.97,34.97,34.42,34.6,34.55
UTIBANKETF,2021-07-05,34.99,35.36,34.55,35.28,35.16
UTIBANKETF,2021-07-06,35.16,35.78,34.81,35.55,35.52
UTIBANKETF,2021-07-07,35.84,35.99,35.1,35.93,35.82
UTIBANKETF,2021-07-08,36.29,36.54,35.25,35.58,35.55
UTIBANKETF,2021-07-09,35.45,35.55,35.1,35.3,35.27
UTIBANKETF,2021-07-12,35.7,35.85,34.65,35.13,35.14
UTIBANKETF,2021-07-13,35.01,35.68,35.01,35.6,35.57
UTIBANKETF,2021-07-14,35.11,35.89,35.11,35.75,35.75
UTIBANKETF,2021-07-15,35.72,36.14,35.25,35.99,35.98
UTIBANKETF,2021-07-16,36.38,36.38,35.7,35.73,35.92
UTIBANKETF,2021-07-19,35.98,36.0,35.03,36.0,35.87
UTIBANKETF,2021-07-20,35.87,36.02,34.61,35.25,34.7
UTIBANKETF,2021-07-20,35.87,36.02,34.61,35.25,34.7
UTIBANKETF,2021-07-22,35.93,35.97,34.8,35.0,34.99
UTIBANKETF,2021-07-23,35.14,35.19,34.6,34.94,34.94
UTIBANKETF,2021-07-26,35.47,35.47,34.52,35.21,34.84
UTIBANKETF,2021-07-27,34.65,35.39,34.65,35.1,35.03
UTIBANKETF,2021-07-28,35.44,35.44,34.3,34.4,34.43
