COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VESUVIUS,2021-07-01,1113.0,1139.7,1105.0,1120.0,1124.75
VESUVIUS,2021-07-02,1142.0,1162.9,1130.65,1144.95,1141.45
VESUVIUS,2021-07-05,1152.5,1178.0,1134.05,1170.0,1164.95
VESUVIUS,2021-07-06,1176.1,1194.0,1125.2,1136.15,1144.05
VESUVIUS,2021-07-07,1144.0,1177.0,1136.5,1174.0,1159.15
VESUVIUS,2021-07-08,1179.9,1190.0,1151.5,1160.0,1156.95
VESUVIUS,2021-07-09,1178.95,1178.95,1140.3,1150.0,1158.1
VESUVIUS,2021-07-12,1162.0,1175.55,1141.0,1175.0,1172.8
VESUVIUS,2021-07-13,1179.0,1218.0,1163.0,1174.85,1171.6
VESUVIUS,2021-07-14,1182.0,1190.0,1151.3,1182.5,1181.75
VESUVIUS,2021-07-15,1181.6,1188.15,1157.05,1177.5,1175.0
VESUVIUS,2021-07-16,1192.65,1192.65,1168.75,1175.1,1175.3
VESUVIUS,2021-07-19,1186.0,1186.0,1160.95,1177.0,1175.2
VESUVIUS,2021-07-20,1167.0,1270.0,1153.1,1204.9,1201.55
VESUVIUS,2021-07-20,1167.0,1270.0,1153.1,1204.9,1201.55
VESUVIUS,2021-07-22,1212.0,1230.0,1182.55,1205.0,1209.9
VESUVIUS,2021-07-23,1205.0,1228.0,1205.0,1220.0,1223.45
VESUVIUS,2021-07-26,1230.0,1238.95,1217.0,1221.3,1225.55
VESUVIUS,2021-07-27,1225.55,1230.35,1196.5,1226.8,1222.3
VESUVIUS,2021-07-28,1222.5,1254.0,1200.0,1242.0,1246.65
