COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VHL,2021-07-01,2515.05,2528.75,2458.55,2517.0,2516.15
VHL,2021-07-02,2489.95,2520.4,2450.0,2475.0,2470.15
VHL,2021-07-05,2477.0,2530.0,2477.0,2530.0,2520.15
VHL,2021-07-06,2525.0,2680.0,2492.2,2599.9,2597.55
VHL,2021-07-07,2677.0,2677.0,2571.25,2590.0,2591.45
VHL,2021-07-08,2630.05,2630.05,2512.1,2547.8,2534.35
VHL,2021-07-09,2598.0,2669.0,2540.0,2642.0,2653.2
VHL,2021-07-12,2680.0,3183.8,2636.35,3183.8,3183.8
VHL,2021-07-13,3517.0,3820.55,3516.95,3720.0,3730.45
VHL,2021-07-14,3685.0,3685.0,3433.8,3484.0,3478.45
VHL,2021-07-15,3500.0,3631.2,3249.95,3262.3,3279.6
VHL,2021-07-16,3310.0,3403.6,3201.05,3240.0,3240.75
VHL,2021-07-19,3240.0,3297.0,3105.0,3256.0,3255.05
VHL,2021-07-20,3255.1,3338.9,3115.05,3140.0,3154.65
VHL,2021-07-20,3255.1,3338.9,3115.05,3140.0,3154.65
VHL,2021-07-22,3328.0,3328.05,3128.1,3200.0,3180.85
VHL,2021-07-23,3218.95,3283.25,3200.05,3269.8,3257.25
VHL,2021-07-26,3340.0,3340.0,3204.85,3248.0,3241.3
VHL,2021-07-27,3299.75,3299.75,3140.0,3172.0,3183.7
VHL,2021-07-28,3260.0,3284.35,3129.95,3201.0,3193.2
