COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VIKASLIFE,2021-07-01,2.65,2.75,2.65,2.65,2.65
VIKASLIFE,2021-07-02,2.7,2.75,2.65,2.7,2.7
VIKASLIFE,2021-07-05,2.8,2.8,2.75,2.8,2.8
VIKASLIFE,2021-07-06,2.9,2.9,2.9,2.9,2.9
VIKASLIFE,2021-07-07,2.95,3.0,2.8,2.85,2.85
VIKASLIFE,2021-07-08,2.85,2.95,2.8,2.95,2.95
VIKASLIFE,2021-07-09,3.0,3.05,2.95,3.05,3.05
VIKASLIFE,2021-07-12,3.2,3.2,3.15,3.2,3.2
VIKASLIFE,2021-07-13,3.35,3.35,3.35,3.35,3.35
VIKASLIFE,2021-07-14,3.5,3.5,3.2,3.5,3.5
VIKASLIFE,2021-07-15,3.6,3.65,3.6,3.65,3.65
VIKASLIFE,2021-07-16,3.8,3.8,3.8,3.8,3.8
VIKASLIFE,2021-07-19,3.95,3.95,3.85,3.95,3.95
VIKASLIFE,2021-07-20,4.1,4.1,4.1,4.1,4.1
VIKASLIFE,2021-07-20,4.1,4.1,4.1,4.1,4.1
VIKASLIFE,2021-07-22,4.3,4.3,4.3,4.3,4.3
VIKASLIFE,2021-07-23,4.5,4.5,4.1,4.5,4.5
VIKASLIFE,2021-07-26,4.7,4.7,4.7,4.7,4.7
VIKASLIFE,2021-07-27,4.9,4.9,4.9,4.9,4.9
VIKASLIFE,2021-07-28,5.1,5.1,4.7,4.7,4.7
