COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VINATIORGA,2021-07-01,1841.95,1872.9,1836.0,1862.0,1862.35
VINATIORGA,2021-07-02,1880.0,2058.0,1880.0,2038.9,2026.6
VINATIORGA,2021-07-05,2050.0,2098.0,2025.0,2043.0,2041.55
VINATIORGA,2021-07-06,2052.3,2058.7,1988.1,2013.3,2002.75
VINATIORGA,2021-07-07,2002.75,2132.0,1987.15,2030.0,2019.1
VINATIORGA,2021-07-08,2047.8,2047.8,1964.95,1976.1,1993.2
VINATIORGA,2021-07-09,1972.05,1987.65,1948.0,1959.9,1954.25
VINATIORGA,2021-07-12,1974.65,1974.65,1922.0,1931.9,1932.5
VINATIORGA,2021-07-13,1946.8,1958.7,1910.7,1919.0,1921.4
VINATIORGA,2021-07-14,1930.0,1949.0,1910.1,1933.0,1929.55
VINATIORGA,2021-07-15,1945.0,1945.0,1905.05,1924.2,1914.7
VINATIORGA,2021-07-16,1932.3,1932.7,1901.0,1917.0,1910.15
VINATIORGA,2021-07-19,1905.0,1993.5,1905.0,1982.0,1977.35
VINATIORGA,2021-07-20,1995.15,1999.3,1930.0,1967.35,1970.45
VINATIORGA,2021-07-20,1995.15,1999.3,1930.0,1967.35,1970.45
VINATIORGA,2021-07-22,1980.0,1998.0,1955.9,1960.0,1969.35
VINATIORGA,2021-07-23,1974.75,1981.15,1932.35,1935.1,1945.4
VINATIORGA,2021-07-26,1940.1,1970.0,1920.6,1950.1,1947.5
VINATIORGA,2021-07-27,1954.5,1964.85,1920.0,1930.0,1923.55
VINATIORGA,2021-07-28,1930.0,1986.0,1895.0,1899.95,1900.05
