COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VOLTAS,2021-07-01,1024.0,1025.4,1012.0,1012.35,1013.0
VOLTAS,2021-07-02,1017.0,1017.0,997.2,1013.0,1013.9
VOLTAS,2021-07-05,1018.2,1024.45,1012.8,1016.0,1014.6
VOLTAS,2021-07-06,1016.4,1028.2,1009.75,1012.0,1012.6
VOLTAS,2021-07-07,1012.6,1016.65,1003.15,1008.0,1005.5
VOLTAS,2021-07-08,1012.0,1024.8,1006.3,1011.9,1011.7
VOLTAS,2021-07-09,1012.8,1018.55,1003.0,1015.7,1015.4
VOLTAS,2021-07-12,1019.1,1028.0,1013.75,1020.0,1017.4
VOLTAS,2021-07-13,1026.0,1037.85,1016.9,1034.0,1033.5
VOLTAS,2021-07-14,1039.95,1044.8,1027.0,1033.0,1030.65
VOLTAS,2021-07-15,1034.4,1048.75,1032.05,1044.0,1042.7
VOLTAS,2021-07-16,1044.0,1061.95,1038.0,1049.8,1051.05
VOLTAS,2021-07-19,1044.75,1053.0,1032.0,1040.0,1039.05
VOLTAS,2021-07-20,1039.05,1040.9,1004.65,1024.15,1026.75
VOLTAS,2021-07-20,1039.05,1040.9,1004.65,1024.15,1026.75
VOLTAS,2021-07-22,1037.0,1055.9,1026.0,1050.25,1049.2
VOLTAS,2021-07-23,1056.0,1056.0,1043.1,1044.25,1045.4
VOLTAS,2021-07-26,1040.25,1047.85,1025.1,1030.0,1026.95
VOLTAS,2021-07-27,1033.75,1048.0,1018.6,1019.5,1020.05
VOLTAS,2021-07-28,1020.0,1025.4,1009.0,1015.05,1016.45
