COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
VSSL,2021-07-01,233.9,252.8,232.0,248.0,249.1
VSSL,2021-07-02,251.2,251.75,244.75,244.75,245.35
VSSL,2021-07-05,247.7,262.5,246.05,258.85,257.4
VSSL,2021-07-06,259.8,271.8,246.15,252.9,251.55
VSSL,2021-07-07,251.55,273.6,248.45,269.0,267.6
VSSL,2021-07-08,269.6,272.0,261.05,263.0,262.85
VSSL,2021-07-09,263.6,267.4,257.5,259.5,260.9
VSSL,2021-07-12,262.0,262.9,246.25,250.6,250.35
VSSL,2021-07-13,252.4,254.9,248.7,250.0,249.7
VSSL,2021-07-14,251.0,258.95,246.25,250.15,251.4
VSSL,2021-07-15,252.7,253.7,243.0,245.0,245.95
VSSL,2021-07-16,247.0,250.0,238.65,240.0,240.15
VSSL,2021-07-19,236.0,245.7,232.65,239.6,239.85
VSSL,2021-07-20,237.15,245.0,230.5,234.0,233.55
VSSL,2021-07-20,237.15,245.0,230.5,234.0,233.55
VSSL,2021-07-22,236.9,279.0,236.9,274.2,271.25
VSSL,2021-07-23,272.0,272.5,258.1,260.3,260.25
VSSL,2021-07-26,260.0,268.0,255.0,262.5,261.65
VSSL,2021-07-27,263.0,271.8,261.1,267.9,265.2
VSSL,2021-07-28,265.2,268.0,251.8,260.7,258.95
