COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WATERBASE,2021-07-01,123.5,133.0,122.25,131.2,130.95
WATERBASE,2021-07-02,131.55,132.7,125.65,126.4,126.15
WATERBASE,2021-07-05,127.1,145.8,126.4,141.4,141.8
WATERBASE,2021-07-06,142.9,144.45,133.0,134.35,134.45
WATERBASE,2021-07-07,134.95,137.5,131.7,132.55,132.95
WATERBASE,2021-07-08,133.65,136.7,130.35,132.0,132.0
WATERBASE,2021-07-09,132.0,134.75,130.65,131.75,131.7
WATERBASE,2021-07-12,132.75,133.7,128.7,129.1,129.2
WATERBASE,2021-07-13,130.35,132.4,128.5,128.9,128.75
WATERBASE,2021-07-14,130.0,136.45,128.55,136.2,133.6
WATERBASE,2021-07-15,137.45,140.85,134.0,134.1,135.1
WATERBASE,2021-07-16,135.8,135.85,132.0,132.7,132.35
WATERBASE,2021-07-19,131.0,134.9,130.0,130.6,130.45
WATERBASE,2021-07-20,131.0,131.7,126.9,127.35,127.2
WATERBASE,2021-07-20,131.0,131.7,126.9,127.35,127.2
WATERBASE,2021-07-22,128.5,130.45,127.25,127.85,127.75
WATERBASE,2021-07-23,128.8,129.7,126.25,127.0,127.6
WATERBASE,2021-07-26,128.4,128.9,126.3,126.6,127.5
WATERBASE,2021-07-27,128.45,128.85,126.1,126.55,126.4
WATERBASE,2021-07-28,127.05,127.9,123.6,125.85,125.95
