COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WEIZMANIND,2021-07-01,56.85,57.0,55.2,55.3,55.35
WEIZMANIND,2021-07-02,55.0,57.45,55.0,55.0,55.15
WEIZMANIND,2021-07-05,55.15,56.9,54.5,55.0,55.15
WEIZMANIND,2021-07-06,55.0,57.55,54.1,55.6,55.1
WEIZMANIND,2021-07-07,56.2,56.55,54.1,55.6,55.35
WEIZMANIND,2021-07-08,55.3,56.65,55.0,55.0,55.1
WEIZMANIND,2021-07-09,54.55,56.0,54.55,54.85,55.3
WEIZMANIND,2021-07-12,57.95,58.9,55.65,58.25,58.1
WEIZMANIND,2021-07-13,58.1,63.9,57.05,63.9,63.9
WEIZMANIND,2021-07-14,68.0,70.25,65.35,70.25,70.25
WEIZMANIND,2021-07-15,69.65,69.65,66.75,66.75,66.75
WEIZMANIND,2021-07-16,63.5,63.5,63.45,63.45,63.45
WEIZMANIND,2021-07-19,60.3,60.3,60.3,60.3,60.3
WEIZMANIND,2021-07-20,58.1,61.0,57.3,57.3,57.4
WEIZMANIND,2021-07-20,58.1,61.0,57.3,57.3,57.4
WEIZMANIND,2021-07-22,57.4,59.9,55.55,55.55,56.5
WEIZMANIND,2021-07-23,58.4,59.3,56.0,58.2,57.8
WEIZMANIND,2021-07-26,58.95,59.0,55.65,55.65,56.7
WEIZMANIND,2021-07-27,57.85,57.85,54.25,55.65,54.75
WEIZMANIND,2021-07-28,56.8,56.8,52.35,54.0,53.1
