COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WELENT,2021-07-01,111.0,115.0,109.9,114.75,114.35
WELENT,2021-07-02,114.8,114.85,112.9,113.5,113.7
WELENT,2021-07-05,114.65,115.65,111.25,112.55,112.4
WELENT,2021-07-06,112.95,113.5,110.55,111.0,110.95
WELENT,2021-07-07,110.95,111.45,109.2,109.5,109.45
WELENT,2021-07-08,109.85,110.4,106.6,107.3,107.3
WELENT,2021-07-09,107.85,108.5,106.7,107.95,107.45
WELENT,2021-07-12,108.0,110.5,107.65,109.45,109.2
WELENT,2021-07-13,110.0,110.0,108.55,109.0,109.0
WELENT,2021-07-14,110.0,110.05,108.85,109.45,109.65
WELENT,2021-07-15,109.95,114.5,109.5,110.7,110.85
WELENT,2021-07-16,112.0,115.9,111.65,112.8,112.5
WELENT,2021-07-19,111.8,113.8,111.0,112.25,112.5
WELENT,2021-07-20,112.5,113.0,108.3,108.3,109.15
WELENT,2021-07-20,112.5,113.0,108.3,108.3,109.15
WELENT,2021-07-22,110.25,110.9,108.65,109.2,109.25
WELENT,2021-07-23,109.55,110.0,108.65,109.0,108.95
WELENT,2021-07-26,108.95,109.85,108.3,109.0,109.05
WELENT,2021-07-27,109.5,110.5,107.8,108.05,108.05
WELENT,2021-07-28,109.5,109.5,106.1,107.5,107.05
