COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WESTLIFE,2021-07-01,504.0,509.0,495.7,497.25,499.7
WESTLIFE,2021-07-02,500.95,502.0,493.4,495.8,495.75
WESTLIFE,2021-07-05,502.9,518.0,495.95,511.0,512.6
WESTLIFE,2021-07-06,516.0,520.0,501.6,504.95,503.9
WESTLIFE,2021-07-07,510.0,522.0,501.35,519.9,516.65
WESTLIFE,2021-07-08,517.9,569.0,510.45,543.95,543.95
WESTLIFE,2021-07-09,545.7,554.0,530.25,535.0,536.4
WESTLIFE,2021-07-12,540.95,556.35,530.45,551.1,551.1
WESTLIFE,2021-07-13,555.45,555.45,535.0,537.0,537.35
WESTLIFE,2021-07-14,541.0,549.95,537.4,541.0,545.7
WESTLIFE,2021-07-15,549.15,549.15,532.7,537.0,535.65
WESTLIFE,2021-07-16,543.0,543.0,530.5,530.5,531.6
WESTLIFE,2021-07-19,531.6,531.6,516.75,520.8,521.55
WESTLIFE,2021-07-20,517.5,520.6,506.0,507.0,510.6
WESTLIFE,2021-07-20,517.5,520.6,506.0,507.0,510.6
WESTLIFE,2021-07-22,520.0,543.75,513.2,536.9,533.6
WESTLIFE,2021-07-23,534.0,537.6,520.5,527.0,525.95
WESTLIFE,2021-07-26,525.0,549.9,524.15,548.95,548.25
WESTLIFE,2021-07-27,554.6,554.6,537.5,550.0,549.75
WESTLIFE,2021-07-28,550.0,562.7,541.6,555.75,555.5
