COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WHEELS,2021-07-01,574.3,607.0,570.1,584.0,585.85
WHEELS,2021-07-02,588.5,588.75,581.2,584.0,584.65
WHEELS,2021-07-05,587.6,593.4,572.3,582.0,581.9
WHEELS,2021-07-06,583.55,589.0,576.5,580.0,578.8
WHEELS,2021-07-07,581.1,599.95,577.75,585.0,587.6
WHEELS,2021-07-08,597.0,598.0,587.0,592.25,591.95
WHEELS,2021-07-09,593.4,593.4,585.15,590.0,589.95
WHEELS,2021-07-12,592.9,637.5,590.0,635.25,633.05
WHEELS,2021-07-13,643.75,666.0,635.05,638.8,637.0
WHEELS,2021-07-14,640.2,687.0,631.25,667.0,662.25
WHEELS,2021-07-15,686.0,702.1,673.05,692.0,692.25
WHEELS,2021-07-16,699.0,749.9,699.0,745.0,744.65
WHEELS,2021-07-19,755.0,799.0,754.95,776.5,776.45
WHEELS,2021-07-20,784.2,799.0,740.0,777.0,775.45
WHEELS,2021-07-20,784.2,799.0,740.0,777.0,775.45
WHEELS,2021-07-22,785.0,828.0,785.0,817.1,814.7
WHEELS,2021-07-23,824.7,863.6,824.7,834.0,831.3
WHEELS,2021-07-26,833.95,908.0,801.1,900.5,899.85
WHEELS,2021-07-27,914.7,1037.0,914.7,997.0,980.65
WHEELS,2021-07-28,1020.0,1033.9,990.0,997.8,995.75
