COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WINDMACHIN,2021-07-01,41.95,41.95,37.95,39.25,39.25
WINDMACHIN,2021-07-02,41.95,42.3,38.85,39.35,39.3
WINDMACHIN,2021-07-05,40.35,41.9,38.5,39.25,39.2
WINDMACHIN,2021-07-06,40.3,40.3,37.5,37.5,38.15
WINDMACHIN,2021-07-07,38.0,38.85,37.1,37.75,38.05
WINDMACHIN,2021-07-08,37.35,41.35,36.7,36.7,37.05
WINDMACHIN,2021-07-09,37.05,38.85,36.95,38.0,37.75
WINDMACHIN,2021-07-12,38.25,39.85,36.5,36.9,36.7
WINDMACHIN,2021-07-13,37.3,39.1,35.5,35.9,36.1
WINDMACHIN,2021-07-14,36.45,37.0,33.7,33.75,34.0
WINDMACHIN,2021-07-15,34.5,35.3,32.0,32.65,32.15
WINDMACHIN,2021-07-16,32.0,35.35,32.0,35.35,35.35
WINDMACHIN,2021-07-19,36.55,38.85,36.55,38.85,38.85
WINDMACHIN,2021-07-20,41.0,41.8,39.2,40.15,40.3
WINDMACHIN,2021-07-20,41.0,41.8,39.2,40.15,40.3
WINDMACHIN,2021-07-22,41.0,41.5,38.65,39.4,39.4
WINDMACHIN,2021-07-23,39.4,40.85,38.05,40.0,39.75
WINDMACHIN,2021-07-26,40.7,40.7,39.1,40.15,40.0
WINDMACHIN,2021-07-27,41.35,41.35,39.1,39.5,39.45
WINDMACHIN,2021-07-28,39.45,39.55,37.65,37.95,38.1
