COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
WORTH,2021-07-01,82.45,82.45,77.25,78.25,78.35
WORTH,2021-07-02,79.95,82.0,77.8,81.0,80.95
WORTH,2021-07-05,83.0,83.0,79.05,80.3,80.8
WORTH,2021-07-06,83.7,88.4,80.8,84.8,84.3
WORTH,2021-07-07,87.0,87.0,82.0,84.0,83.9
WORTH,2021-07-08,85.8,86.35,84.0,84.4,84.75
WORTH,2021-07-09,85.8,86.85,84.65,85.15,85.45
WORTH,2021-07-12,87.9,102.5,85.5,102.5,102.35
WORTH,2021-07-13,108.0,119.45,102.5,107.5,107.45
WORTH,2021-07-14,107.9,109.6,102.3,103.95,103.3
WORTH,2021-07-15,104.0,115.0,103.55,110.5,111.65
WORTH,2021-07-16,114.95,114.95,107.1,108.95,108.8
WORTH,2021-07-19,110.95,113.35,108.5,109.4,109.35
WORTH,2021-07-20,114.35,114.35,107.0,108.6,108.85
WORTH,2021-07-20,114.35,114.35,107.0,108.6,108.85
WORTH,2021-07-22,112.5,112.5,105.95,108.0,107.15
WORTH,2021-07-23,108.0,109.95,103.0,103.9,103.6
WORTH,2021-07-26,103.65,105.4,100.95,103.4,102.55
WORTH,2021-07-27,104.45,118.7,101.7,114.0,113.75
WORTH,2021-07-28,114.85,114.85,108.3,110.55,110.6
